"Notes","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code","Year","Year Code","State","State Code",Deaths,Population,Crude Rate,Age Adjusted Rate
,"Influenza and pneumonia","J09-J18","2013","2013","Hawaii","15",1028,1404054,73.2,55.0
,"Influenza and pneumonia","J09-J18","2013","2013","Idaho","16",644,1612136,39.9,38.0
,"Influenza and pneumonia","J09-J18","2013","2013","Illinois","17",6572,12882135,51.0,45.4
,"Influenza and pneumonia","J09-J18","2013","2013","Indiana","18",3833,6570902,58.3,52.2
,"Influenza and pneumonia","J09-J18","2013","2013","Iowa","19",1859,3090416,60.2,44.4
,"Influenza and pneumonia","J09-J18","2013","2013","Kansas","20",1595,2893957,55.1,45.7
,"Influenza and pneumonia","J09-J18","2013","2013","Kentucky","21",2908,4395295,66.2,60.2
,"Influenza and pneumonia","J09-J18","2013","2013","Louisiana","22",2139,4625470,46.2,44.7
,"Influenza and pneumonia","J09-J18","2013","2013","Maine","23",752,1328302,56.6,41.0
,"Influenza and pneumonia","J09-J18","2013","2013","Maryland","24",2956,5928814,49.9,45.7
,"Influenza and pneumonia","J09-J18","2013","2013","Massachusetts","25",4145,6692824,61.9,49.2
,"Influenza and pneumonia","J09-J18","2013","2013","Michigan","26",5321,9895622,53.8,44.4
,"Influenza and pneumonia","J09-J18","2013","2013","Minnesota","27",2211,5420380,40.8,34.2
,"Influenza and pneumonia","J09-J18","2013","2013","Mississippi","28",1926,2991207,64.4,60.7
,"Influenza and pneumonia","J09-J18","2013","2013","Missouri","29",3449,6044171,57.1,47.7
,"Influenza and pneumonia","J09-J18","2013","2013","Montana","30",503,1015165,49.5,38.8
,"Influenza and pneumonia","J09-J18","2013","2013","Nebraska","31",946,1868516,50.6,41.3
,"Influenza and pneumonia","J09-J18","2013","2013","Nevada","32",1216,2790136,43.6,43.5
,"Influenza and pneumonia","J09-J18","2013","2013","New Hampshire","33",632,1323459,47.8,38.9
,"Influenza and pneumonia","J09-J18","2013","2013","New Jersey","34",4037,8899339,45.4,37.6
,"Influenza and pneumonia","J09-J18","2013","2013","New Mexico","35",1040,2085287,49.9,45.6
,"Influenza and pneumonia","J09-J18","2013","2013","New York","36",11202,19651127,57.0,47.3
,"Influenza and pneumonia","J09-J18","2013","2013","North Carolina","37",5634,9848060,57.2,52.9
,"Influenza and pneumonia","J09-J18","2013","2013","North Dakota","38",427,723393,59.0,46.3
,"Influenza and pneumonia","J09-J18","2013","2013","Ohio","39",6785,11570808,58.6,47.8
,"Influenza and pneumonia","J09-J18","2013","2013","Oklahoma","40",2298,3850568,59.7,54.6
,"Influenza and pneumonia","J09-J18","2013","2013","Oregon","41",1558,3930065,39.6,32.5
,"Influenza and pneumonia","J09-J18","2013","2013","Pennsylvania","42",7512,12773801,58.8,42.6
,"Influenza and pneumonia","J09-J18","2013","2013","Rhode Island","44",729,1051511,69.3,50.1
,"Influenza and pneumonia","J09-J18","2013","2013","South Carolina","45",2521,4774839,52.8,47.5
,"Influenza and pneumonia","J09-J18","2013","2013","South Dakota","46",505,844877,59.8,46.2
,"Influenza and pneumonia","J09-J18","2013","2013","Tennessee","47",4307,6495978,66.3,60.2
,"Influenza and pneumonia","J09-J18","2013","2013","Texas","48",11314,26448193,42.8,48.5
,"Influenza and pneumonia","J09-J18","2013","2013","Utah","49",1032,2900872,35.6,46.2
,"Influenza and pneumonia","J09-J18","2013","2013","Vermont","50",361,626630,57.6,44.3
,"Influenza and pneumonia","J09-J18","2013","2013","Virginia","51",3766,8260405,45.6,44.1
,"Influenza and pneumonia","J09-J18","2013","2013","Washington","53",3139,6971406,45.0,41.5
,"Influenza and pneumonia","J09-J18","2013","2013","West Virginia","54",1512,1854304,81.5,63.1
,"Influenza and pneumonia","J09-J18","2013","2013","Wisconsin","55",2860,5742713,49.8,40.2
,"Influenza and pneumonia","J09-J18","2013","2013","Wyoming","56",270,582658,46.3,44.3
"Total","Influenza and pneumonia","J09-J18","2013","2013",,,160443,316128839,50.8,44.9
,"Influenza and pneumonia","J09-J18","2014","2014","Alabama","01",2635,4849377,54.3,47.6
,"Influenza and pneumonia","J09-J18","2014","2014","Alaska","02",212,736732,28.8,43.4
,"Influenza and pneumonia","J09-J18","2014","2014","Arizona","04",2524,6731484,37.5,32.1
,"Influenza and pneumonia","J09-J18","2014","2014","Arkansas","05",1935,2966369,65.2,55.6
,"Influenza and pneumonia","J09-J18","2014","2014","California","06",17032,38802500,43.9,42.0
,"Influenza and pneumonia","J09-J18","2014","2014","Colorado","08",1844,5355866,34.4,35.1
,"Influenza and pneumonia","J09-J18","2014","2014","Connecticut","09",1784,3596677,49.6,37.1
,"Influenza and pneumonia","J09-J18","2014","2014","Delaware","10",474,935614,50.7,41.8
,"Influenza and pneumonia","J09-J18","2014","2014","District of Columbia","11",227,658893,34.5,35.7
,"Influenza and pneumonia","J09-J18","2014","2014","Florida","12",8277,19893297,41.6,28.8
,"Influenza and pneumonia","J09-J18","2014","2014","Georgia","13",3877,10097343,38.4,41.5
,"Influenza and pneumonia","J09-J18","2014","2014","Hawaii","15",995,1419561,70.1,51.7
,"Influenza and pneumonia","J09-J18","2014","2014","Idaho","16",621,1634464,38.0,35.7
,"Influenza and pneumonia","J09-J18","2014","2014","Illinois","17",6348,12880580,49.3,43.3
,"Influenza and pneumonia","J09-J18","2014","2014","Indiana","18",3601,6596855,54.6,48.1
,"Influenza and pneumonia","J09-J18","2014","2014","Iowa","19",1669,3107126,53.7,39.5
,"Influenza and pneumonia","J09-J18","2014","2014","Kansas","20",1563,2904021,53.8,44.7
,"Influenza and pneumonia","J09-J18","2014","2014","Kentucky","21",2924,4413457,66.3,59.6
,"Influenza and pneumonia","J09-J18","2014","2014","Louisiana","22",2013,4649676,43.3,41.5
,"Influenza and pneumonia","J09-J18","2014","2014","Maine","23",781,1330089,58.7,41.0
,"Influenza and pneumonia","J09-J18","2014","2014","Maryland","24",2741,5976407,45.9,41.7
,"Influenza and pneumonia","J09-J18","2014","2014","Massachusetts","25",3824,6745408,56.7,44.6
,"Influenza and pneumonia","J09-J18","2014","2014","Michigan","26",5194,9909877,52.4,42.9
,"Influenza and pneumonia","J09-J18","2014","2014","Minnesota","27",2138,5457173,39.2,32.8
,"Influenza and pneumonia","J09-J18","2014","2014","Mississippi","28",1820,2994079,60.8,56.1
,"Influenza and pneumonia","J09-J18","2014","2014","Missouri","29",3322,6063589,54.8,45.4
,"Influenza and pneumonia","J09-J18","2014","2014","Montana","30",463,1023579,45.2,35.2
,"Influenza and pneumonia","J09-J18","2014","2014","Nebraska","31",1002,1881503,53.3,43.8
,"Influenza and pneumonia","J09-J18","2014","2014","Nevada","32",1398,2839099,49.2,48.0
,"Influenza and pneumonia","J09-J18","2014","2014","New Hampshire","33",619,1326813,46.7,37.7
,"Influenza and pneumonia","J09-J18","2014","2014","New Jersey","34",3720,8938175,41.6,34.2
,"Influenza and pneumonia","J09-J18","2014","2014","New Mexico","35",1121,2085572,53.8,47.6
,"Influenza and pneumonia","J09-J18","2014","2014","New York","36",10729,19746227,54.3,44.9
,"Influenza and pneumonia","J09-J18","2014","2014","North Carolina","37",5456,9943964,54.9,49.9
,"Influenza and pneumonia","J09-J18","2014","2014","North Dakota","38",432,739482,58.4,47.3
,"Influenza and pneumonia","J09-J18","2014","2014","Ohio","39",6423,11594163,55.4,44.8
,"Influenza and pneumonia","J09-J18","2014","2014","Oklahoma","40",2173,3878051,56.0,50.4
,"Influenza and pneumonia","J09-J18","2014","2014","Oregon","41",1563,3970239,39.4,31.9
,"Influenza and pneumonia","J09-J18","2014","2014","Pennsylvania","42",6736,12787209,52.7,38.1
,"Influenza and pneumonia","J09-J18","2014","2014","Rhode Island","44",623,1055173,59.0,42.4
,"Influenza and pneumonia","J09-J18","2014","2014","South Carolina","45",2560,4832482,53.0,47.1
,"Influenza and pneumonia","J09-J18","2014","2014","South Dakota","46",546,853175,64.0,50.0
,"Influenza and pneumonia","J09-J18","2014","2014","Tennessee","47",4180,6549352,63.8,57.2
,"Influenza and pneumonia","J09-J18","2014","2014","Texas","48",11364,26956958,42.2,46.9
,"Influenza and pneumonia","J09-J18","2014","2014","Utah","49",1020,2942902,34.7,44.4
,"Influenza and pneumonia","J09-J18","2014","2014","Vermont","50",400,626562,63.8,48.9
,"Influenza and pneumonia","J09-J18","2014","2014","Virginia","51",3593,8326289,43.2,40.9
,"Influenza and pneumonia","J09-J18","2014","2014","Washington","53",2897,7061530,41.0,37.4
,"Influenza and pneumonia","J09-J18","2014","2014","West Virginia","54",1481,1850326,80.0,60.5
,"Influenza and pneumonia","J09-J18","2014","2014","Wisconsin","55",2778,5757564,48.2,38.3
,"Influenza and pneumonia","J09-J18","2014","2014","Wyoming","56",259,584153,44.3,41.4
"Total","Influenza and pneumonia","J09-J18","2014","2014",,,153911,318857056,48.3,42.2
,"Influenza and pneumonia","J09-J18","2015","2015","Alabama","01",2731,4858979,56.2,48.3
,"Influenza and pneumonia","J09-J18","2015","2015","Alaska","02",188,738432,25.5,36.3
,"Influenza and pneumonia","J09-J18","2015","2015","Arizona","04",2637,6828065,38.6,32.2
,"Influenza and pneumonia","J09-J18","2015","2015","Arkansas","05",1950,2978204,65.5,55.3
,"Influenza and pneumonia","J09-J18","2015","2015","California","06",17372,39144818,44.4,41.7
,"Influenza and pneumonia","J09-J18","2015","2015","Colorado","08",1750,5456574,32.1,32.3
,"Influenza and pneumonia","J09-J18","2015","2015","Connecticut","09",1762,3590886,49.1,36.5
,"Influenza and pneumonia","J09-J18","2015","2015","Delaware","10",472,945934,49.9,39.9
,"Influenza and pneumonia","J09-J18","2015","2015","District of Columbia","11",298,672228,44.3,46.5
,"Influenza and pneumonia","J09-J18","2015","2015","Florida","12",8746,20271272,43.1,29.3
,"Influenza and pneumonia","J09-J18","2015","2015","Georgia","13",3877,10214860,38.0,40.3
,"Influenza and pneumonia","J09-J18","2015","2015","Hawaii","15",1028,1431603,71.8,51.6
,"Influenza and pneumonia","J09-J18","2015","2015","Idaho","16",633,1654930,38.2,35.4
,"Influenza and pneumonia","J09-J18","2015","2015","Illinois","17",6418,12859995,49.9,43.1
,"Influenza and pneumonia","J09-J18","2015","2015","Indiana","18",3660,6619680,55.3,48.3
,"Influenza and pneumonia","J09-J18","2015","2015","Iowa","19",1750,3123899,56.0,40.9
,"Influenza and pneumonia","J09-J18","2015","2015","Kansas","20",1622,2911641,55.7,45.5
,"Influenza and pneumonia","J09-J18","2015","2015","Kentucky","21",3195,4425092,72.2,63.6
,"Influenza and pneumonia","J09-J18","2015","2015","Louisiana","22",1869,4670724,40.0,37.5
,"Influenza and pneumonia","J09-J18","2015","2015","Maine","23",785,1329328,59.1,41.2
,"Influenza and pneumonia","J09-J18","2015","2015","Maryland","24",2900,6006401,48.3,43.2
,"Influenza and pneumonia","J09-J18","2015","2015","Massachusetts","25",4129,6794422,60.8,47.3
,"Influenza and pneumonia","J09-J18","2015","2015","Michigan","26",5222,9922576,52.6,42.3
,"Influenza and pneumonia","J09-J18","2015","2015","Minnesota","27",2313,5489594,42.1,34.5
,"Influenza and pneumonia","J09-J18","2015","2015","Mississippi","28",1851,2992333,61.9,56.0
,"Influenza and pneumonia","J09-J18","2015","2015","Missouri","29",3349,6083672,55.0,44.7
,"Influenza and pneumonia","J09-J18","2015","2015","Montana","30",493,1032949,47.7,37.3
,"Influenza and pneumonia","J09-J18","2015","2015","Nebraska","31",985,1896190,51.9,42.8
,"Influenza and pneumonia","J09-J18","2015","2015","Nevada","32",1374,2890845,47.5,45.5
,"Influenza and pneumonia","J09-J18","2015","2015","New Hampshire","33",679,1330608,51.0,40.4
,"Influenza and pneumonia","J09-J18","2015","2015","New Jersey","34",3755,8958013,41.9,34.0
