"Notes","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code","Year","Year Code","State","State Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Age Adjusted Rate,Age Adjusted Rate Lower 95% Confidence Interval,Age Adjusted Rate Upper 95% Confidence Interval
,"Influenza and pneumonia","J09-J18","2013","2013","New Jersey","34",92,8899339,1.0,0.8,1.3,0.9,0.7,1.1
,"Influenza and pneumonia","J09-J18","2013","2013","New Mexico","35",19,2085287,Unreliable,0.5,1.4,Unreliable,0.5,1.3
,"Influenza and pneumonia","J09-J18","2013","2013","New York","36",166,19651127,0.8,0.7,1.0,0.7,0.6,0.8
,"Influenza and pneumonia","J09-J18","2013","2013","North Carolina","37",120,9848060,1.2,1.0,1.4,1.1,0.9,1.3
,"Influenza and pneumonia","J09-J18","2013","2013","North Dakota","38",16,723393,Unreliable,1.3,3.6,Unreliable,1.0,2.9
,"Influenza and pneumonia","J09-J18","2013","2013","Ohio","39",154,11570808,1.3,1.1,1.5,1.1,0.9,1.3
,"Influenza and pneumonia","J09-J18","2013","2013","Oklahoma","40",49,3850568,1.3,0.9,1.7,1.2,0.9,1.5
,"Influenza and pneumonia","J09-J18","2013","2013","Oregon","41",38,3930065,1.0,0.7,1.3,0.8,0.6,1.1
,"Influenza and pneumonia","J09-J18","2013","2013","Pennsylvania","42",135,12773801,1.1,0.9,1.2,0.9,0.7,1.0
,"Influenza and pneumonia","J09-J18","2013","2013","Rhode Island","44",15,1051511,Unreliable,0.8,2.4,Unreliable,0.6,1.9
,"Influenza and pneumonia","J09-J18","2013","2013","South Carolina","45",75,4774839,1.6,1.2,2.0,1.4,1.1,1.8
,"Influenza and pneumonia","J09-J18","2013","2013","South Dakota","46",Suppressed,844877,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,"Influenza and pneumonia","J09-J18","2013","2013","Tennessee","47",107,6495978,1.6,1.3,2.0,1.5,1.2,1.8
,"Influenza and pneumonia","J09-J18","2013","2013","Texas","48",288,26448193,1.1,1.0,1.2,1.2,1.0,1.3
,"Influenza and pneumonia","J09-J18","2013","2013","Utah","49",25,2900872,0.9,0.6,1.3,1.1,0.7,1.6
,"Influenza and pneumonia","J09-J18","2013","2013","Vermont","50",Suppressed,626630,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,"Influenza and pneumonia","J09-J18","2013","2013","Virginia","51",70,8260405,0.8,0.7,1.1,0.8,0.6,1.0
,"Influenza and pneumonia","J09-J18","2013","2013","Washington","53",93,6971406,1.3,1.1,1.6,1.2,0.9,1.4
,"Influenza and pneumonia","J09-J18","2013","2013","West Virginia","54",28,1854304,1.5,1.0,2.2,1.2,0.8,1.8
