"Notes","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code","Year","Year Code","Residence State","Residence State Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Age Adjusted Rate,Age Adjusted Rate Lower 95% Confidence Interval,Age Adjusted Rate Upper 95% Confidence Interval
,"Other bacterial diseases","A30-A49","2020","2020","Georgia","13",8713,10710017,81.4,79.6,83.1,73.8,72.2,75.4
,"Other bacterial diseases","A30-A49","2020","2020","Hawaii","15",608,1407006,43.2,39.8,46.6,31.3,28.7,34.0
,"Other bacterial diseases","A30-A49","2020","2020","Idaho","16",950,1826913,52.0,48.7,55.3,44.2,41.4,47.1
,"Other bacterial diseases","A30-A49","2020","2020","Illinois","17",8848,12587530,70.3,68.8,71.8,56.1,54.9,57.3
,"Other bacterial diseases","A30-A49","2020","2020","Indiana","18",5819,6754953,86.1,83.9,88.4,70.5,68.6,72.3
,"Other bacterial diseases","A30-A49","2020","2020","Iowa","19",2160,3163561,68.3,65.4,71.2,50.9,48.7,53.1
,"Other bacterial diseases","A30-A49","2020","2020","Kansas","20",2127,2913805,73.0,69.9,76.1,58.4,55.9,61.0
,"Other bacterial diseases","A30-A49","2020","2020","Kentucky","21",5519,4477251,123.3,120.0,126.5,99.0,96.4,101.8
,"Other bacterial diseases","A30-A49","2020","2020","Louisiana","22",4235,4645318,91.2,88.4,93.9,76.0,73.7,78.4
,"Other bacterial diseases","A30-A49","2020","2020","Maine","23",306,1350141,22.7,20.1,25.2,15.2,13.5,17.2
,"Other bacterial diseases","A30-A49","2020","2020","Maryland","24",4522,6055802,74.7,72.5,76.8,60.5,58.8,62.4
,"Other bacterial diseases","A30-A49","2020","2020","Massachusetts","25",4831,6893574,70.1,68.1,72.1,53.2,51.7,54.8
,"Other bacterial diseases","A30-A49","2020","2020","Michigan","26",7776,9966555,78.0,76.3,79.8,58.6,57.3,60.0
,"Other bacterial diseases","A30-A49","2020","2020","Minnesota","27",2959,5657342,52.3,50.4,54.2,41.9,40.4,43.5
,"Other bacterial diseases","A30-A49","2020","2020","Mississippi","28",3236,2966786,109.1,105.3,112.8,89.8,86.7,93.0
,"Other bacterial diseases","A30-A49","2020","2020","Missouri","29",4673,6151548,76.0,73.8,78.1,58.2,56.5,59.9
,"Other bacterial diseases","A30-A49","2020","2020","Montana","30",708,1080577,65.5,60.7,70.3,48.4,44.8,52.3
,"Other bacterial diseases","A30-A49","2020","2020","Nebraska","31",1199,1937552,61.9,58.4,65.4,50.3,47.4,53.3
,"Other bacterial diseases","A30-A49","2020","2020","Nevada","32",2369,3138259,75.5,72.4,78.5,63.3,60.7,66.0
,"Other bacterial diseases","A30-A49","2020","2020","New Hampshire","33",692,1366275,50.6,46.9,54.4,36.0,33.3,38.9
,"Other bacterial diseases","A30-A49","2020","2020","New Jersey","34",8471,8882371,95.4,93.3,97.4,73.2,71.7,74.8
,"Other bacterial diseases","A30-A49","2020","2020","New Mexico","35",1599,2106319,75.9,72.2,79.6,61.1,58.0,64.3
,"Other bacterial diseases","A30-A49","2020","2020","New York","36",12576,19336776,65.0,63.9,66.2,49.0,48.2,49.9
,"Other bacterial diseases","A30-A49","2020","2020","North Carolina","37",7767,10600823,73.3,71.6,74.9,59.1,57.8,60.5
,"Other bacterial diseases","A30-A49","2020","2020","North Dakota","38",518,765309,67.7,61.9,73.5,56.8,51.9,62.2
,"Other bacterial diseases","A30-A49","2020","2020","Ohio","39",9078,11693217,77.6,76.0,79.2,59.3,58.1,60.6
