"Notes","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code","Year","Year Code","Month","Month Code","Ten-Year Age Groups","Ten-Year Age Groups Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"Other bacterial diseases","A30-A49","2018","2018","Sep., 2018","2018/09","65-74 years","65-74",3742,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2018","2018","Sep., 2018","2018/09","75-84 years","75-84",4043,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2018","2018","Sep., 2018","2018/09","85+ years","85+",3715,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2018","2018","Sep., 2018","2018/09","Not Stated","NS",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2018","2018","Oct., 2018","2018/10","< 1 year","1",29,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2018","2018","Oct., 2018","2018/10","1-4 years","1-4",13,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2018","2018","Oct., 2018","2018/10","5-14 years","5-14",18,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2018","2018","Oct., 2018","2018/10","15-24 years","15-24",55,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2018","2018","Oct., 2018","2018/10","25-34 years","25-34",172,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2018","2018","Oct., 2018","2018/10","35-44 years","35-44",379,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2018","2018","Oct., 2018","2018/10","45-54 years","45-54",1023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2018","2018","Oct., 2018","2018/10","55-64 years","55-64",2607,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2018","2018","Oct., 2018","2018/10","65-74 years","65-74",3962,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2018","2018","Oct., 2018","2018/10","75-84 years","75-84",4302,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2018","2018","Oct., 2018","2018/10","85+ years","85+",4154,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2018","2018","Nov., 2018","2018/11","< 1 year","1",33,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2018","2018","Nov., 2018","2018/11","1-4 years","1-4",17,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2018","2018","Nov., 2018","2018/11","5-14 years","5-14",18,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2018","2018","Nov., 2018","2018/11","15-24 years","15-24",54,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2018","2018","Nov., 2018","2018/11","25-34 years","25-34",182,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2018","2018","Nov., 2018","2018/11","35-44 years","35-44",380,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2018","2018","Nov., 2018","2018/11","45-54 years","45-54",931,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2018","2018","Nov., 2018","2018/11","55-64 years","55-64",2569,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2018","2018","Nov., 2018","2018/11","65-74 years","65-74",3851,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2018","2018","Nov., 2018","2018/11","75-84 years","75-84",4228,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2018","2018","Nov., 2018","2018/11","85+ years","85+",4112,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2018","2018","Dec., 2018","2018/12","< 1 year","1",36,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2018","2018","Dec., 2018","2018/12","1-4 years","1-4",17,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2018","2018","Dec., 2018","2018/12","5-14 years","5-14",28,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2018","2018","Dec., 2018","2018/12","15-24 years","15-24",68,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2018","2018","Dec., 2018","2018/12","25-34 years","25-34",183,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2018","2018","Dec., 2018","2018/12","35-44 years","35-44",415,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2018","2018","Dec., 2018","2018/12","45-54 years","45-54",1107,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2018","2018","Dec., 2018","2018/12","55-64 years","55-64",2662,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2018","2018","Dec., 2018","2018/12","65-74 years","65-74",4109,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2018","2018","Dec., 2018","2018/12","75-84 years","75-84",4752,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2018","2018","Dec., 2018","2018/12","85+ years","85+",4685,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2018","2018","Dec., 2018","2018/12","Not Stated","NS",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2019","2019","Jan., 2019","2019/01","< 1 year","1",36,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2019","2019","Jan., 2019","2019/01","1-4 years","1-4",14,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2019","2019","Jan., 2019","2019/01","5-14 years","5-14",15,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2019","2019","Jan., 2019","2019/01","15-24 years","15-24",60,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2019","2019","Jan., 2019","2019/01","25-34 years","25-34",171,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2019","2019","Jan., 2019","2019/01","35-44 years","35-44",469,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2019","2019","Jan., 2019","2019/01","45-54 years","45-54",1125,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2019","2019","Jan., 2019","2019/01","55-64 years","55-64",2862,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2019","2019","Jan., 2019","2019/01","65-74 years","65-74",4396,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2019","2019","Jan., 2019","2019/01","75-84 years","75-84",4912,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2019","2019","Jan., 2019","2019/01","85+ years","85+",4805,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2019","2019","Jan., 2019","2019/01","Not Stated","NS",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2019","2019","Feb., 2019","2019/02","< 1 year","1",30,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2019","2019","Feb., 2019","2019/02","1-4 years","1-4",20,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2019","2019","Feb., 2019","2019/02","5-14 years","5-14",24,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2019","2019","Feb., 2019","2019/02","15-24 years","15-24",49,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2019","2019","Feb., 2019","2019/02","25-34 years","25-34",211,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2019","2019","Feb., 2019","2019/02","35-44 years","35-44",357,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2019","2019","Feb., 2019","2019/02","45-54 years","45-54",980,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2019","2019","Feb., 2019","2019/02","55-64 years","55-64",2543,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2019","2019","Feb., 2019","2019/02","65-74 years","65-74",3949,Not Applicable,Not Applicable,Not Applicable,Not Applicable
