"Notes","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code","Year","Year Code","Month","Month Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
"Total","Provisional assignment of new diseases of uncertain etiology","U00-U49","2020","2020",,,166553,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Provisional assignment of new diseases of uncertain etiology","U00-U49","2021","2021","Jan., 2021","2021/01",52136,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Provisional assignment of new diseases of uncertain etiology","U00-U49","2021","2021","Feb., 2021","2021/02",24694,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Provisional assignment of new diseases of uncertain etiology","U00-U49","2021","2021","Mar., 2021","2021/03",11499,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Provisional assignment of new diseases of uncertain etiology","U00-U49","2021","2021","Apr., 2021","2021/04",9247,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Provisional assignment of new diseases of uncertain etiology","U00-U49","2021","2021","May, 2021","2021/05",7681,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Provisional assignment of new diseases of uncertain etiology","U00-U49","2021","2021","Jun., 2021","2021/06",4095,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Provisional assignment of new diseases of uncertain etiology","U00-U49","2021","2021","Jul., 2021","2021/07",5889,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Provisional assignment of new diseases of uncertain etiology","U00-U49","2021","2021","Aug., 2021","2021/08",27879,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Provisional assignment of new diseases of uncertain etiology","U00-U49","2021","2021","Sep., 2021","2021/09",36675,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Provisional assignment of new diseases of uncertain etiology","U00-U49","2021","2021","Oct., 2021","2021/10",24124,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Provisional assignment of new diseases of uncertain etiology","U00-U49","2021","2021","Nov., 2021","2021/11",17370,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Provisional assignment of new diseases of uncertain etiology","U00-U49","2021","2021","Dec., 2021","2021/12",24480,Not Applicable,Not Applicable,Not Applicable,Not Applicable
"Total","Provisional assignment of new diseases of uncertain etiology","U00-U49","2021","2021",,,245769,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Provisional assignment of new diseases of uncertain etiology","U00-U49","2022","2022","Jan., 2022","2022/01",40062,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Provisional assignment of new diseases of uncertain etiology","U00-U49","2022","2022","Feb., 2022","2022/02",23810,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Provisional assignment of new diseases of uncertain etiology","U00-U49","2022","2022","Mar., 2022","2022/03",6448,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Provisional assignment of new diseases of uncertain etiology","U00-U49","2022","2022","Apr., 2022","2022/04",1978,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Provisional assignment of new diseases of uncertain etiology","U00-U49","2022","2022","May, 2022","2022/05",2228,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Provisional assignment of new diseases of uncertain etiology","U00-U49","2022","2022","Jun., 2022","2022/06",2896,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Provisional assignment of new diseases of uncertain etiology","U00-U49","2022","2022","Jul., 2022","2022/07",3957,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Provisional assignment of new diseases of uncertain etiology","U00-U49","2022","2022","Aug., 2022","2022/08",4351,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Provisional assignment of new diseases of uncertain etiology","U00-U49","2022","2022","Sep., 2022","2022/09",3275,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Provisional assignment of new diseases of uncertain etiology","U00-U49","2022","2022","Oct., 2022","2022/10",2804,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Provisional assignment of new diseases of uncertain etiology","U00-U49","2022","2022","Nov., 2022","2022/11",2928,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Provisional assignment of new diseases of uncertain etiology","U00-U49","2022","2022","Dec., 2022","2022/12",4458,Not Applicable,Not Applicable,Not Applicable,Not Applicable
"Total","Provisional assignment of new diseases of uncertain etiology","U00-U49","2022","2022",,,99195,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Provisional assignment of new diseases of uncertain etiology","U00-U49","2023","2023","Jan., 2023","2023/01",4930,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Provisional assignment of new diseases of uncertain etiology","U00-U49","2023","2023","Feb., 2023","2023/02",2874,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Provisional assignment of new diseases of uncertain etiology","U00-U49","2023","2023","Mar., 2023","2023/03",2372,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Provisional assignment of new diseases of uncertain etiology","U00-U49","2023","2023","Apr., 2023","2023/04",1617,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Provisional assignment of new diseases of uncertain etiology","U00-U49","2023","2023","May, 2023","2023/05",1128,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Provisional assignment of new diseases of uncertain etiology","U00-U49","2023","2023","Jun., 2023","2023/06",796,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Provisional assignment of new diseases of uncertain etiology","U00-U49","2023","2023","Jul., 2023","2023/07",744,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Provisional assignment of new diseases of uncertain etiology","U00-U49","2023","2023","Aug., 2023","2023/08",1360,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Provisional assignment of new diseases of uncertain etiology","U00-U49","2023","2023","Sep., 2023","2023/09",2080,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Provisional assignment of new diseases of uncertain etiology","U00-U49","2023","2023","Oct., 2023","2023/10",1915,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Provisional assignment of new diseases of uncertain etiology","U00-U49","2023","2023","Nov., 2023","2023/11",2033,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Provisional assignment of new diseases of uncertain etiology","U00-U49","2023","2023","Dec., 2023","2023/12",2787,Not Applicable,Not Applicable,Not Applicable,Not Applicable
"Total","Provisional assignment of new diseases of uncertain etiology","U00-U49","2023","2023",,,24636,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Provisional assignment of new diseases of uncertain etiology","U00-U49","2024","2024","Jan., 2024","2024/01",3468,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Provisional assignment of new diseases of uncertain etiology","U00-U49","2024","2024","Feb., 2024","2024/02",2011,Not Applicable,Not Applicable,Not Applicable,Not Applicable
