"Notes","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code","Year","Year Code","State","State Code",Deaths,Population,Crude Rate,Age Adjusted Rate
,"Other bacterial diseases","A30-A49","2012","2012","Washington","53",3047,6897012,44.2,41.5
,"Other bacterial diseases","A30-A49","2012","2012","West Virginia","54",1476,1855413,79.6,62.1
,"Other bacterial diseases","A30-A49","2012","2012","Wisconsin","55",1991,5726398,34.8,29.3
,"Other bacterial diseases","A30-A49","2012","2012","Wyoming","56",208,576412,36.1,34.5
"Total","Other bacterial diseases","A30-A49","2012","2012",,,165092,313914040,52.6,47.4
,"Other bacterial diseases","A30-A49","2013","2013","Alabama","01",3248,4833722,67.2,58.6
,"Other bacterial diseases","A30-A49","2013","2013","Alaska","02",188,735132,25.6,35.1
,"Other bacterial diseases","A30-A49","2013","2013","Arizona","04",2856,6626624,43.1,37.7
,"Other bacterial diseases","A30-A49","2013","2013","Arkansas","05",2120,2959373,71.6,61.8
,"Other bacterial diseases","A30-A49","2013","2013","California","06",18811,38332521,49.1,47.8
,"Other bacterial diseases","A30-A49","2013","2013","Colorado","08",1711,5268367,32.5,33.2
,"Other bacterial diseases","A30-A49","2013","2013","Connecticut","09",2187,3596080,60.8,48.0
,"Other bacterial diseases","A30-A49","2013","2013","Delaware","10",582,925749,62.9,52.5
,"Other bacterial diseases","A30-A49","2013","2013","District of Columbia","11",368,646449,56.9,60.1
,"Other bacterial diseases","A30-A49","2013","2013","Florida","12",10356,19552860,53.0,37.8
,"Other bacterial diseases","A30-A49","2013","2013","Georgia","13",5460,9992167,54.6,58.0
,"Other bacterial diseases","A30-A49","2013","2013","Hawaii","15",560,1404054,39.9,32.4
,"Other bacterial diseases","A30-A49","2013","2013","Idaho","16",606,1612136,37.6,35.3
,"Other bacterial diseases","A30-A49","2013","2013","Illinois","17",7034,12882135,54.6,49.5
,"Other bacterial diseases","A30-A49","2013","2013","Indiana","18",3986,6570902,60.7,54.4
,"Other bacterial diseases","A30-A49","2013","2013","Iowa","19",1397,3090416,45.2,35.1
,"Other bacterial diseases","A30-A49","2013","2013","Kansas","20",1361,2893957,47.0,40.4
,"Other bacterial diseases","A30-A49","2013","2013","Kentucky","21",2962,4395295,67.4,59.9
,"Other bacterial diseases","A30-A49","2013","2013","Louisiana","22",3081,4625470,66.6,63.2
,"Other bacterial diseases","A30-A49","2013","2013","Maine","23",680,1328302,51.2,37.0
,"Other bacterial diseases","A30-A49","2013","2013","Maryland","24",3243,5928814,54.7,50.4
,"Other bacterial diseases","A30-A49","2013","2013","Massachusetts","25",3650,6692824,54.5,44.7
,"Other bacterial diseases","A30-A49","2013","2013","Michigan","26",5864,9895622,59.3,49.4
,"Other bacterial diseases","A30-A49","2013","2013","Minnesota","27",1710,5420380,31.5,27.4
,"Other bacterial diseases","A30-A49","2013","2013","Mississippi","28",2428,2991207,81.2,74.9
,"Other bacterial diseases","A30-A49","2013","2013","Missouri","29",3303,6044171,54.6,46.0
,"Other bacterial diseases","A30-A49","2013","2013","Montana","30",422,1015165,41.6,33.6
,"Other bacterial diseases","A30-A49","2013","2013","Nebraska","31",719,1868516,38.5,33.4
,"Other bacterial diseases","A30-A49","2013","2013","Nevada","32",1459,2790136,52.3,50.8
,"Other bacterial diseases","A30-A49","2013","2013","New Hampshire","33",567,1323459,42.8,35.0
,"Other bacterial diseases","A30-A49","2013","2013","New Jersey","34",6384,8899339,71.7,60.6
,"Other bacterial diseases","A30-A49","2013","2013","New Mexico","35",1057,2085287,50.7,45.5
,"Other bacterial diseases","A30-A49","2013","2013","New York","36",10837,19651127,55.1,46.7
,"Other bacterial diseases","A30-A49","2013","2013","North Carolina","37",6033,9848060,61.3,55.7
,"Other bacterial diseases","A30-A49","2013","2013","North Dakota","38",359,723393,49.6,41.7
,"Other bacterial diseases","A30-A49","2013","2013","Ohio","39",6915,11570808,59.8,49.4
,"Other bacterial diseases","A30-A49","2013","2013","Oklahoma","40",2477,3850568,64.3,58.2
,"Other bacterial diseases","A30-A49","2013","2013","Oregon","41",1619,3930065,41.2,34.2
,"Other bacterial diseases","A30-A49","2013","2013","Pennsylvania","42",8358,12773801,65.4,49.2
,"Other bacterial diseases","A30-A49","2013","2013","Rhode Island","44",673,1051511,64.0,49.5
,"Other bacterial diseases","A30-A49","2013","2013","South Carolina","45",3136,4774839,65.7,58.0
,"Other bacterial diseases","A30-A49","2013","2013","South Dakota","46",347,844877,41.1,33.9
,"Other bacterial diseases","A30-A49","2013","2013","Tennessee","47",4209,6495978,64.8,57.8
,"Other bacterial diseases","A30-A49","2013","2013","Texas","48",14900,26448193,56.3,62.3
,"Other bacterial diseases","A30-A49","2013","2013","Utah","49",907,2900872,31.3,39.8
,"Other bacterial diseases","A30-A49","2013","2013","Vermont","50",283,626630,45.2,35.2
,"Other bacterial diseases","A30-A49","2013","2013","Virginia","51",4930,8260405,59.7,56.7
,"Other bacterial diseases","A30-A49","2013","2013","Washington","53",3337,6971406,47.9,44.1
,"Other bacterial diseases","A30-A49","2013","2013","West Virginia","54",1507,1854304,81.3,63.0
,"Other bacterial diseases","A30-A49","2013","2013","Wisconsin","55",2192,5742713,38.2,31.7
,"Other bacterial diseases","A30-A49","2013","2013","Wyoming","56",241,582658,41.4,38.2
"Total","Other bacterial diseases","A30-A49","2013","2013",,,173620,316128839,54.9,48.8
,"Other bacterial diseases","A30-A49","2014","2014","Alabama","01",3424,4849377,70.6,60.9
,"Other bacterial diseases","A30-A49","2014","2014","Alaska","02",218,736732,29.6,38.7
,"Other bacterial diseases","A30-A49","2014","2014","Arizona","04",3210,6731484,47.7,40.5
