"Notes","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code","Year","Year Code","Ten-Year Age Groups","Ten-Year Age Groups Code",Deaths,Population,Crude Rate
,"Influenza and pneumonia","J09-J18","2013","2013","45-54 years","45-54",2413,43767532,5.5
,"Influenza and pneumonia","J09-J18","2013","2013","55-64 years","55-64",5354,39316431,13.6
,"Influenza and pneumonia","J09-J18","2013","2013","65-74 years","65-74",7399,25216766,29.3
,"Influenza and pneumonia","J09-J18","2013","2013","75-84 years","75-84",10187,13446519,75.8
,"Influenza and pneumonia","J09-J18","2013","2013","85+ years","85+",11713,6040789,193.9
,"Influenza and pneumonia","J09-J18","2014","2014","< 1 year","1",34,3948350,0.9
,"Influenza and pneumonia","J09-J18","2014","2014","1-4 years","1-4",26,15928533,0.2
,"Influenza and pneumonia","J09-J18","2014","2014","5-14 years","5-14",28,41191072,0.1
,"Influenza and pneumonia","J09-J18","2014","2014","15-24 years","15-24",138,43979821,0.3
,"Influenza and pneumonia","J09-J18","2014","2014","25-34 years","25-34",361,43516504,0.8
,"Influenza and pneumonia","J09-J18","2014","2014","35-44 years","35-44",827,40513133,2.0
,"Influenza and pneumonia","J09-J18","2014","2014","45-54 years","45-54",2591,43458851,6.0
,"Influenza and pneumonia","J09-J18","2014","2014","55-64 years","55-64",5788,40077581,14.4
,"Influenza and pneumonia","J09-J18","2014","2014","65-74 years","65-74",8184,26398290,31.0
,"Influenza and pneumonia","J09-J18","2014","2014","75-84 years","75-84",10552,13682690,77.1
,"Influenza and pneumonia","J09-J18","2014","2014","85+ years","85+",11920,6162231,193.4
,"Influenza and pneumonia","J09-J18","2015","2015","< 1 year","1",47,3978038,1.2
,"Influenza and pneumonia","J09-J18","2015","2015","1-4 years","1-4",30,15929243,0.2
,"Influenza and pneumonia","J09-J18","2015","2015","5-14 years","5-14",28,41109506,0.1
,"Influenza and pneumonia","J09-J18","2015","2015","15-24 years","15-24",146,43848216,0.3
,"Influenza and pneumonia","J09-J18","2015","2015","25-34 years","25-34",370,44137202,0.8
,"Influenza and pneumonia","J09-J18","2015","2015","35-44 years","35-44",853,40589783,2.1
,"Influenza and pneumonia","J09-J18","2015","2015","45-54 years","45-54",2532,43188161,5.9
,"Influenza and pneumonia","J09-J18","2015","2015","55-64 years","55-64",6069,40877819,14.8
,"Influenza and pneumonia","J09-J18","2015","2015","65-74 years","65-74",9089,27550517,33.0
,"Influenza and pneumonia","J09-J18","2015","2015","75-84 years","75-84",11623,13923174,83.5
,"Influenza and pneumonia","J09-J18","2015","2015","85+ years","85+",13644,6287161,217.0
,"Influenza and pneumonia","J09-J18","2016","2016","< 1 year","1",47,3970145,1.2
