"Notes","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code","Year","Year Code","Residence State","Residence State Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Age Adjusted Rate,Age Adjusted Rate Lower 95% Confidence Interval,Age Adjusted Rate Upper 95% Confidence Interval
,"Influenza and pneumonia","J09-J18","2019","2019","New York","36",10475,19453561,53.8,52.8,54.9,40.4,39.6,41.2
,"Influenza and pneumonia","J09-J18","2019","2019","North Carolina","37",4678,10488084,44.6,43.3,45.9,37.1,36.0,38.1
,"Influenza and pneumonia","J09-J18","2019","2019","North Dakota","38",402,762062,52.8,47.6,57.9,42.6,38.4,47.2
,"Influenza and pneumonia","J09-J18","2019","2019","Ohio","39",4940,11689100,42.3,41.1,43.4,32.5,31.5,33.4
,"Influenza and pneumonia","J09-J18","2019","2019","Oklahoma","40",2337,3956971,59.1,56.7,61.5,49.9,47.9,52.1
,"Influenza and pneumonia","J09-J18","2019","2019","Oregon","41",1341,4217737,31.8,30.1,33.5,24.5,23.2,25.9
,"Influenza and pneumonia","J09-J18","2019","2019","Pennsylvania","42",5961,12801989,46.6,45.4,47.7,32.4,31.5,33.2
,"Influenza and pneumonia","J09-J18","2019","2019","Rhode Island","44",506,1059361,47.8,43.6,51.9,33.9,30.9,37.1
,"Influenza and pneumonia","J09-J18","2019","2019","South Carolina","45",2391,5148714,46.4,44.6,48.3,37.3,35.8,38.9
,"Influenza and pneumonia","J09-J18","2019","2019","South Dakota","46",491,884659,55.5,50.6,60.4,42.4,38.6,46.5
,"Influenza and pneumonia","J09-J18","2019","2019","Tennessee","47",3640,6829174,53.3,51.6,55.0,44.0,42.5,45.5
,"Influenza and pneumonia","J09-J18","2019","2019","Texas","48",10744,28995881,37.1,36.4,37.8,38.1,37.4,38.9
,"Influenza and pneumonia","J09-J18","2019","2019","Utah","49",892,3205958,27.8,26.0,29.6,33.0,30.8,35.3
,"Influenza and pneumonia","J09-J18","2019","2019","Vermont","50",220,623989,35.3,30.6,39.9,24.4,21.2,28.0
,"Influenza and pneumonia","J09-J18","2019","2019","Virginia","51",2813,8535519,33.0,31.7,34.2,27.9,26.9,29.0
,"Influenza and pneumonia","J09-J18","2019","2019","Washington","53",2607,7614893,34.2,32.9,35.5,29.7,28.5,30.9
,"Influenza and pneumonia","J09-J18","2019","2019","West Virginia","54",1258,1792147,70.2,66.3,74.1,49.4,46.7,52.3
,"Influenza and pneumonia","J09-J18","2019","2019","Wisconsin","55",2193,5822434,37.7,36.1,39.2,28.6,27.4,29.9
,"Influenza and pneumonia","J09-J18","2019","2019","Wyoming","56",215,578759,37.1,32.2,42.1,30.7,26.7,35.3
"Total","Influenza and pneumonia","J09-J18","2019","2019",,,140192,328239523,42.7,42.5,42.9,34.6,34.5,34.8
,"Influenza and pneumonia","J09-J18","2020","2020","Alabama","01",4905,4921532,99.7,96.9,102.5,77.9,75.7,80.1
,"Influenza and pneumonia","J09-J18","2020","2020","Alaska","02",302,731158,41.3,36.6,46.0,46.3,41.0,52.1
,"Influenza and pneumonia","J09-J18","2020","2020","Arizona","04",8211,7421401,110.6,108.2,113.0,84.8,82.9,86.7
,"Influenza and pneumonia","J09-J18","2020","2020","Arkansas","05",3465,3030522,114.3,110.5,118.1,89.2,86.2,92.3
,"Influenza and pneumonia","J09-J18","2020","2020","California","06",33527,39368078,85.2,84.3,86.1,73.4,72.6,74.2
,"Influenza and pneumonia","J09-J18","2020","2020","Colorado","08",3791,5807719,65.3,63.2,67.4,60.8,58.9,62.8
,"Influenza and pneumonia","J09-J18","2020","2020","Connecticut","09",2840,3557006,79.8,76.9,82.8,55.7,53.6,57.8
