"Notes","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code","Year","Year Code","Month","Month Code","Ten-Year Age Groups","Ten-Year Age Groups Code",Deaths,Population,Crude Rate
,"Other bacterial diseases","A30-A49","2011","2011","Feb., 2011","2011/02","55-64 years","55-64",470,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Feb., 2011","2011/02","65-74 years","65-74",633,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Feb., 2011","2011/02","75-84 years","75-84",945,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Feb., 2011","2011/02","85+ years","85+",1045,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Mar., 2011","2011/03","< 1 year","1",Suppressed,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Mar., 2011","2011/03","1-4 years","1-4",Suppressed,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Mar., 2011","2011/03","5-14 years","5-14",Suppressed,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Mar., 2011","2011/03","15-24 years","15-24",19,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Mar., 2011","2011/03","25-34 years","25-34",38,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Mar., 2011","2011/03","35-44 years","35-44",89,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Mar., 2011","2011/03","45-54 years","45-54",271,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Mar., 2011","2011/03","55-64 years","55-64",468,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Mar., 2011","2011/03","65-74 years","65-74",642,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Mar., 2011","2011/03","75-84 years","75-84",933,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Mar., 2011","2011/03","85+ years","85+",1041,Not Applicable,Not Applicable
