"Notes","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code","Year","Year Code","State","State Code",Deaths,Population,Crude Rate,Age Adjusted Rate
,"Other bacterial diseases","A30-A49","2013","2013","Utah","49",169,2900872,5.8,7.5
,"Other bacterial diseases","A30-A49","2013","2013","Vermont","50",49,626630,7.8,6.1
,"Other bacterial diseases","A30-A49","2013","2013","Virginia","51",976,8260405,11.8,11.4
,"Other bacterial diseases","A30-A49","2013","2013","Washington","53",707,6971406,10.1,9.3
,"Other bacterial diseases","A30-A49","2013","2013","West Virginia","54",367,1854304,19.8,15.2
,"Other bacterial diseases","A30-A49","2013","2013","Wisconsin","55",407,5742713,7.1,5.9
,"Other bacterial diseases","A30-A49","2013","2013","Wyoming","56",39,582658,6.7,6.0
"Total","Other bacterial diseases","A30-A49","2013","2013",,,38271,316128839,12.1,10.7
,"Other bacterial diseases","A30-A49","2014","2014","Alabama","01",703,4849377,14.5,12.5
,"Other bacterial diseases","A30-A49","2014","2014","Alaska","02",45,736732,6.1,8.4
,"Other bacterial diseases","A30-A49","2014","2014","Arizona","04",739,6731484,11.0,9.3
,"Other bacterial diseases","A30-A49","2014","2014","Arkansas","05",509,2966369,17.2,14.5
,"Other bacterial diseases","A30-A49","2014","2014","California","06",5165,38802500,13.3,12.8
,"Other bacterial diseases","A30-A49","2014","2014","Colorado","08",382,5355866,7.1,7.2
,"Other bacterial diseases","A30-A49","2014","2014","Connecticut","09",437,3596677,12.2,9.3
,"Other bacterial diseases","A30-A49","2014","2014","Delaware","10",148,935614,15.8,13.1
,"Other bacterial diseases","A30-A49","2014","2014","District of Columbia","11",58,658893,8.8,9.4
,"Other bacterial diseases","A30-A49","2014","2014","Florida","12",2199,19893297,11.1,7.7
,"Other bacterial diseases","A30-A49","2014","2014","Georgia","13",1092,10097343,10.8,11.3
,"Other bacterial diseases","A30-A49","2014","2014","Hawaii","15",126,1419561,8.9,6.7
,"Other bacterial diseases","A30-A49","2014","2014","Idaho","16",125,1634464,7.6,7.2
,"Other bacterial diseases","A30-A49","2014","2014","Illinois","17",1484,12880580,11.5,10.2
,"Other bacterial diseases","A30-A49","2014","2014","Indiana","18",872,6596855,13.2,11.6
,"Other bacterial diseases","A30-A49","2014","2014","Iowa","19",288,3107126,9.3,7.0
,"Other bacterial diseases","A30-A49","2014","2014","Kansas","20",320,2904021,11.0,9.4
,"Other bacterial diseases","A30-A49","2014","2014","Kentucky","21",796,4413457,18.0,15.9
,"Other bacterial diseases","A30-A49","2014","2014","Louisiana","22",584,4649676,12.6,11.9
,"Other bacterial diseases","A30-A49","2014","2014","Maine","23",159,1330089,12.0,8.5
,"Other bacterial diseases","A30-A49","2014","2014","Maryland","24",638,5976407,10.7,9.8
,"Other bacterial diseases","A30-A49","2014","2014","Massachusetts","25",849,6745408,12.6,10.1
,"Other bacterial diseases","A30-A49","2014","2014","Michigan","26",1345,9909877,13.6,11.1
,"Other bacterial diseases","A30-A49","2014","2014","Minnesota","27",360,5457173,6.6,5.7
,"Other bacterial diseases","A30-A49","2014","2014","Mississippi","28",552,2994079,18.4,16.8
,"Other bacterial diseases","A30-A49","2014","2014","Missouri","29",785,6063589,12.9,10.7
,"Other bacterial diseases","A30-A49","2014","2014","Montana","30",64,1023579,6.3,5.0
,"Other bacterial diseases","A30-A49","2014","2014","Nebraska","31",195,1881503,10.4,8.8
,"Other bacterial diseases","A30-A49","2014","2014","Nevada","32",528,2839099,18.6,17.8
,"Other bacterial diseases","A30-A49","2014","2014","New Hampshire","33",129,1326813,9.7,7.8
,"Other bacterial diseases","A30-A49","2014","2014","New Jersey","34",1070,8938175,12.0,9.9
,"Other bacterial diseases","A30-A49","2014","2014","New Mexico","35",274,2085572,13.1,11.8
,"Other bacterial diseases","A30-A49","2014","2014","New York","36",3118,19746227,15.8,13.1
,"Other bacterial diseases","A30-A49","2014","2014","North Carolina","37",1472,9943964,14.8,13.3
,"Other bacterial diseases","A30-A49","2014","2014","North Dakota","38",83,739482,11.2,9.8
,"Other bacterial diseases","A30-A49","2014","2014","Ohio","39",1387,11594163,12.0,9.7
,"Other bacterial diseases","A30-A49","2014","2014","Oklahoma","40",670,3878051,17.3,15.4
,"Other bacterial diseases","A30-A49","2014","2014","Oregon","41",359,3970239,9.0,7.4
,"Other bacterial diseases","A30-A49","2014","2014","Pennsylvania","42",1567,12787209,12.3,9.0
,"Other bacterial diseases","A30-A49","2014","2014","Rhode Island","44",143,1055173,13.6,9.9
,"Other bacterial diseases","A30-A49","2014","2014","South Carolina","45",761,4832482,15.7,13.7
,"Other bacterial diseases","A30-A49","2014","2014","South Dakota","46",98,853175,11.5,9.2
,"Other bacterial diseases","A30-A49","2014","2014","Tennessee","47",1066,6549352,16.3,14.3
,"Other bacterial diseases","A30-A49","2014","2014","Texas","48",3601,26956958,13.4,14.6
,"Other bacterial diseases","A30-A49","2014","2014","Utah","49",199,2942902,6.8,8.4
,"Other bacterial diseases","A30-A49","2014","2014","Vermont","50",47,626562,7.5,5.6
,"Other bacterial diseases","A30-A49","2014","2014","Virginia","51",950,8326289,11.4,10.7
,"Other bacterial diseases","A30-A49","2014","2014","Washington","53",768,7061530,10.9,9.9
,"Other bacterial diseases","A30-A49","2014","2014","West Virginia","54",426,1850326,23.0,17.3
,"Other bacterial diseases","A30-A49","2014","2014","Wisconsin","55",452,5757564,7.9,6.3
,"Other bacterial diseases","A30-A49","2014","2014","Wyoming","56",49,584153,8.4,7.4
"Total","Other bacterial diseases","A30-A49","2014","2014",,,40236,318857056,12.6,11.0
,"Other bacterial diseases","A30-A49","2015","2015","Alabama","01",746,4858979,15.4,13.0
