"Notes","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code","Year","Year Code","Month","Month Code",Deaths,Population,Crude Rate,Age Adjusted Rate
,"Influenza and pneumonia","J09-J18","2013","2013","Nov., 2013","2013/11",3052,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2013","2013","Dec., 2013","2013/12",3672,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2014","2014","Jan., 2014","2014/01",4558,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2014","2014","Feb., 2014","2014/02",3521,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2014","2014","Mar., 2014","2014/03",3723,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2014","2014","Apr., 2014","2014/04",3414,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2014","2014","May, 2014","2014/05",3138,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2014","2014","Jun., 2014","2014/06",2955,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2014","2014","Jul., 2014","2014/07",2948,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2014","2014","Aug., 2014","2014/08",2846,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2014","2014","Sep., 2014","2014/09",2836,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2014","2014","Oct., 2014","2014/10",3161,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2014","2014","Nov., 2014","2014/11",3210,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2014","2014","Dec., 2014","2014/12",4141,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2015","2015","Jan., 2015","2015/01",5057,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2015","2015","Feb., 2015","2015/02",4152,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2015","2015","Mar., 2015","2015/03",4322,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2015","2015","Apr., 2015","2015/04",3682,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2015","2015","May, 2015","2015/05",3462,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2015","2015","Jun., 2015","2015/06",3183,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2015","2015","Jul., 2015","2015/07",3183,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2015","2015","Aug., 2015","2015/08",3104,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2015","2015","Sep., 2015","2015/09",3146,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2015","2015","Oct., 2015","2015/10",3521,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2015","2015","Nov., 2015","2015/11",3516,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2015","2015","Dec., 2015","2015/12",4103,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2016","2016","Jan., 2016","2016/01",4557,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2016","2016","Feb., 2016","2016/02",4246,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2016","2016","Mar., 2016","2016/03",4557,Not Applicable,Not Applicable,Not Applicable
