"Notes","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code","Year","Year Code","Month","Month Code","Ten-Year Age Groups","Ten-Year Age Groups Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"Other bacterial diseases","A30-A49","2018","2018","Dec., 2018","2018/12","75-84 years","75-84",1125,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2018","2018","Dec., 2018","2018/12","85+ years","85+",1181,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2019","2019","Jan., 2019","2019/01","< 1 year","1",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2019","2019","Jan., 2019","2019/01","1-4 years","1-4",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2019","2019","Jan., 2019","2019/01","15-24 years","15-24",11,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2019","2019","Jan., 2019","2019/01","25-34 years","25-34",24,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2019","2019","Jan., 2019","2019/01","35-44 years","35-44",113,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2019","2019","Jan., 2019","2019/01","45-54 years","45-54",231,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2019","2019","Jan., 2019","2019/01","55-64 years","55-64",629,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2019","2019","Jan., 2019","2019/01","65-74 years","65-74",1012,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2019","2019","Jan., 2019","2019/01","75-84 years","75-84",1206,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2019","2019","Jan., 2019","2019/01","85+ years","85+",1405,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2019","2019","Jan., 2019","2019/01","Not Stated","NS",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2019","2019","Feb., 2019","2019/02","< 1 year","1",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2019","2019","Feb., 2019","2019/02","1-4 years","1-4",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2019","2019","Feb., 2019","2019/02","5-14 years","5-14",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2019","2019","Feb., 2019","2019/02","15-24 years","15-24",12,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2019","2019","Feb., 2019","2019/02","25-34 years","25-34",38,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2019","2019","Feb., 2019","2019/02","35-44 years","35-44",67,Not Applicable,Not Applicable,Not Applicable,Not Applicable
