"Notes","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code","Year","Year Code","Month","Month Code","Ten-Year Age Groups","Ten-Year Age Groups Code",Deaths,Population,Crude Rate
,"Other bacterial diseases","A30-A49","2010","2010","Sep., 2010","2010/09","75-84 years","75-84",3406,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Sep., 2010","2010/09","85+ years","85+",3320,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Oct., 2010","2010/10","< 1 year","1",52,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Oct., 2010","2010/10","1-4 years","1-4",20,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Oct., 2010","2010/10","5-14 years","5-14",24,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Oct., 2010","2010/10","15-24 years","15-24",66,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Oct., 2010","2010/10","25-34 years","25-34",115,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Oct., 2010","2010/10","35-44 years","35-44",288,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Oct., 2010","2010/10","45-54 years","45-54",1076,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Oct., 2010","2010/10","55-64 years","55-64",1930,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Oct., 2010","2010/10","65-74 years","65-74",2623,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Oct., 2010","2010/10","75-84 years","75-84",3574,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Oct., 2010","2010/10","85+ years","85+",3474,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Nov., 2010","2010/11","< 1 year","1",42,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Nov., 2010","2010/11","1-4 years","1-4",18,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Nov., 2010","2010/11","5-14 years","5-14",24,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Nov., 2010","2010/11","15-24 years","15-24",55,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Nov., 2010","2010/11","25-34 years","25-34",134,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Nov., 2010","2010/11","35-44 years","35-44",315,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Nov., 2010","2010/11","45-54 years","45-54",969,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Nov., 2010","2010/11","55-64 years","55-64",1932,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Nov., 2010","2010/11","65-74 years","65-74",2583,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Nov., 2010","2010/11","75-84 years","75-84",3708,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Nov., 2010","2010/11","85+ years","85+",3682,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Dec., 2010","2010/12","< 1 year","1",45,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Dec., 2010","2010/12","1-4 years","1-4",21,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Dec., 2010","2010/12","5-14 years","5-14",21,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Dec., 2010","2010/12","15-24 years","15-24",69,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Dec., 2010","2010/12","25-34 years","25-34",153,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Dec., 2010","2010/12","35-44 years","35-44",329,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Dec., 2010","2010/12","45-54 years","45-54",1012,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Dec., 2010","2010/12","55-64 years","55-64",2060,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Dec., 2010","2010/12","65-74 years","65-74",2838,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Dec., 2010","2010/12","75-84 years","75-84",3930,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Dec., 2010","2010/12","85+ years","85+",4104,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Dec., 2010","2010/12","Not Stated","NS",Suppressed,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Jan., 2011","2011/01","< 1 year","1",51,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Jan., 2011","2011/01","1-4 years","1-4",21,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Jan., 2011","2011/01","5-14 years","5-14",28,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Jan., 2011","2011/01","15-24 years","15-24",70,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Jan., 2011","2011/01","25-34 years","25-34",159,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Jan., 2011","2011/01","35-44 years","35-44",367,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Jan., 2011","2011/01","45-54 years","45-54",1171,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Jan., 2011","2011/01","55-64 years","55-64",2249,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Jan., 2011","2011/01","65-74 years","65-74",3022,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Jan., 2011","2011/01","75-84 years","75-84",4394,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Jan., 2011","2011/01","85+ years","85+",4440,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Feb., 2011","2011/02","< 1 year","1",41,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Feb., 2011","2011/02","1-4 years","1-4",23,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Feb., 2011","2011/02","5-14 years","5-14",24,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Feb., 2011","2011/02","15-24 years","15-24",81,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Feb., 2011","2011/02","25-34 years","25-34",156,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Feb., 2011","2011/02","35-44 years","35-44",362,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Feb., 2011","2011/02","45-54 years","45-54",1056,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Feb., 2011","2011/02","55-64 years","55-64",2136,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Feb., 2011","2011/02","65-74 years","65-74",2833,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Feb., 2011","2011/02","75-84 years","75-84",3959,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Feb., 2011","2011/02","85+ years","85+",3925,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Mar., 2011","2011/03","< 1 year","1",41,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Mar., 2011","2011/03","1-4 years","1-4",25,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Mar., 2011","2011/03","5-14 years","5-14",34,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Mar., 2011","2011/03","15-24 years","15-24",74,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Mar., 2011","2011/03","25-34 years","25-34",155,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Mar., 2011","2011/03","35-44 years","35-44",388,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Mar., 2011","2011/03","45-54 years","45-54",1111,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Mar., 2011","2011/03","55-64 years","55-64",2242,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Mar., 2011","2011/03","65-74 years","65-74",2893,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Mar., 2011","2011/03","75-84 years","75-84",4097,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Mar., 2011","2011/03","85+ years","85+",4122,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Apr., 2011","2011/04","< 1 year","1",33,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Apr., 2011","2011/04","1-4 years","1-4",23,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Apr., 2011","2011/04","5-14 years","5-14",23,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Apr., 2011","2011/04","15-24 years","15-24",53,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Apr., 2011","2011/04","25-34 years","25-34",154,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Apr., 2011","2011/04","35-44 years","35-44",334,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Apr., 2011","2011/04","45-54 years","45-54",953,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Apr., 2011","2011/04","55-64 years","55-64",1944,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Apr., 2011","2011/04","65-74 years","65-74",2630,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Apr., 2011","2011/04","75-84 years","75-84",3584,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Apr., 2011","2011/04","85+ years","85+",3576,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","May, 2011","2011/05","< 1 year","1",35,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","May, 2011","2011/05","1-4 years","1-4",13,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","May, 2011","2011/05","5-14 years","5-14",22,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","May, 2011","2011/05","15-24 years","15-24",45,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","May, 2011","2011/05","25-34 years","25-34",115,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","May, 2011","2011/05","35-44 years","35-44",302,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","May, 2011","2011/05","45-54 years","45-54",1032,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","May, 2011","2011/05","55-64 years","55-64",1991,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","May, 2011","2011/05","65-74 years","65-74",2621,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","May, 2011","2011/05","75-84 years","75-84",3642,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","May, 2011","2011/05","85+ years","85+",3562,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","May, 2011","2011/05","Not Stated","NS",Suppressed,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Jun., 2011","2011/06","< 1 year","1",39,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Jun., 2011","2011/06","1-4 years","1-4",16,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Jun., 2011","2011/06","5-14 years","5-14",23,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Jun., 2011","2011/06","15-24 years","15-24",43,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Jun., 2011","2011/06","25-34 years","25-34",131,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Jun., 2011","2011/06","35-44 years","35-44",296,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Jun., 2011","2011/06","45-54 years","45-54",969,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Jun., 2011","2011/06","55-64 years","55-64",1926,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Jun., 2011","2011/06","65-74 years","65-74",2451,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Jun., 2011","2011/06","75-84 years","75-84",3521,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Jun., 2011","2011/06","85+ years","85+",3298,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Jun., 2011","2011/06","Not Stated","NS",Suppressed,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Jul., 2011","2011/07","< 1 year","1",45,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Jul., 2011","2011/07","1-4 years","1-4",Suppressed,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Jul., 2011","2011/07","5-14 years","5-14",12,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Jul., 2011","2011/07","15-24 years","15-24",62,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Jul., 2011","2011/07","25-34 years","25-34",148,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Jul., 2011","2011/07","35-44 years","35-44",302,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Jul., 2011","2011/07","45-54 years","45-54",973,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Jul., 2011","2011/07","55-64 years","55-64",1936,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Jul., 2011","2011/07","65-74 years","65-74",2600,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Jul., 2011","2011/07","75-84 years","75-84",3468,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Jul., 2011","2011/07","85+ years","85+",3406,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Aug., 2011","2011/08","< 1 year","1",46,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Aug., 2011","2011/08","1-4 years","1-4",16,Not Applicable,Not Applicable
