"Notes","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code","Year","Year Code","Ten-Year Age Groups","Ten-Year Age Groups Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"Influenza and pneumonia","J09-J18","2023","2023","1-4 years","1-4",268,14862506,1.8,1.6,2.0
,"Influenza and pneumonia","J09-J18","2023","2023","5-14 years","5-14",235,40987321,0.6,0.5,0.6
,"Influenza and pneumonia","J09-J18","2023","2023","15-24 years","15-24",558,43886652,1.3,1.2,1.4
,"Influenza and pneumonia","J09-J18","2023","2023","25-34 years","25-34",1636,45542516,3.6,3.4,3.8
,"Influenza and pneumonia","J09-J18","2023","2023","35-44 years","35-44",3482,44390693,7.8,7.6,8.1
,"Influenza and pneumonia","J09-J18","2023","2023","45-54 years","45-54",7021,40493781,17.3,16.9,17.7
,"Influenza and pneumonia","J09-J18","2023","2023","55-64 years","55-64",18098,41854411,43.2,42.6,43.9
,"Influenza and pneumonia","J09-J18","2023","2023","65-74 years","65-74",34117,34685284,98.4,97.3,99.4
,"Influenza and pneumonia","J09-J18","2023","2023","75-84 years","75-84",45949,18368097,250.2,247.9,252.4
,"Influenza and pneumonia","J09-J18","2023","2023","85+ years","85+",49556,6194980,799.9,792.9,807.0
,"Influenza and pneumonia","J09-J18","2023","2023","Not Stated","NS",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2024","2024","< 1 year","1",239,3615598,6.6,5.8,7.4
,"Influenza and pneumonia","J09-J18","2024","2024","1-4 years","1-4",215,14983716,1.4,1.2,1.6
,"Influenza and pneumonia","J09-J18","2024","2024","5-14 years","5-14",229,41098826,0.6,0.5,0.6
,"Influenza and pneumonia","J09-J18","2024","2024","15-24 years","15-24",563,44797761,1.3,1.2,1.4
,"Influenza and pneumonia","J09-J18","2024","2024","25-34 years","25-34",1514,46453864,3.3,3.1,3.4
,"Influenza and pneumonia","J09-J18","2024","2024","35-44 years","35-44",3407,45539224,7.5,7.2,7.7
,"Influenza and pneumonia","J09-J18","2024","2024","45-54 years","45-54",6863,40780356,16.8,16.4,17.2
,"Influenza and pneumonia","J09-J18","2024","2024","55-64 years","55-64",17559,41661725,42.1,41.5,42.8
,"Influenza and pneumonia","J09-J18","2024","2024","65-74 years","65-74",33353,35444962,94.1,93.1,95.1
,"Influenza and pneumonia","J09-J18","2024","2024","75-84 years","75-84",44789,19299813,232.1,229.9,234.2
,"Influenza and pneumonia","J09-J18","2024","2024","85+ years","85+",46953,6435143,729.6,723.0,736.2
,"Influenza and pneumonia","J09-J18","2024","2024","Not Stated","NS",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2025 (provisional)","2025","< 1 year","1",239,3615598,6.6,5.8,7.4
,"Influenza and pneumonia","J09-J18","2025 (provisional)","2025","1-4 years","1-4",182,14983716,1.2,1.0,1.4
,"Influenza and pneumonia","J09-J18","2025 (provisional)","2025","5-14 years","5-14",212,41098826,0.5,0.4,0.6
,"Influenza and pneumonia","J09-J18","2025 (provisional)","2025","15-24 years","15-24",467,44797761,1.0,0.9,1.1
,"Influenza and pneumonia","J09-J18","2025 (provisional)","2025","25-34 years","25-34",1452,46453864,3.1,3.0,3.3
,"Influenza and pneumonia","J09-J18","2025 (provisional)","2025","35-44 years","35-44",3439,45539224,7.6,7.3,7.8
,"Influenza and pneumonia","J09-J18","2025 (provisional)","2025","45-54 years","45-54",6777,40780356,16.6,16.2,17.0
,"Influenza and pneumonia","J09-J18","2025 (provisional)","2025","55-64 years","55-64",16957,41661725,40.7,40.1,41.3
,"Influenza and pneumonia","J09-J18","2025 (provisional)","2025","65-74 years","65-74",32816,35444962,92.6,91.6,93.6
,"Influenza and pneumonia","J09-J18","2025 (provisional)","2025","75-84 years","75-84",44882,19299813,232.6,230.4,234.7
,"Influenza and pneumonia","J09-J18","2025 (provisional)","2025","85+ years","85+",45004,6435143,699.3,692.9,705.8
,"Influenza and pneumonia","J09-J18","2025 (provisional)","2025","Not Stated","NS",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable
"---"
"Dataset: Provisional Mortality Statistics, 2018 through Last Week"
"Query Parameters:"
"MCD - ICD-10 Codes: J12.0 (Adenoviral pneumonia); J12.1 (Respiratory syncytial virus pneumonia); J12.2 (Parainfluenza virus"
"pneumonia); J12.3 (Human metapneumovirus pneumonia); J12.8 (Other viral pneumonia); J12.9 (Viral pneumonia, unspecified); J13"
"(Pneumonia due to Streptococcus pneumoniae); J14 (Pneumonia due to Haemophilus influenzae); J15.0 (Pneumonia due to Klebsiella"
"pneumoniae); J15.1 (Pneumonia due to Pseudomonas); J15.2 (Pneumonia due to staphylococcus); J15.3 (Pneumonia due to"
"streptococcus, group B); J15.4 (Pneumonia due to other streptococci); J15.5 (Pneumonia due to Escherichia coli); J15.6"
"(Pneumonia due to other aerobic Gram-negative bacteria); J15.7 (Pneumonia due to Mycoplasma pneumoniae); J15.8 (Other bacterial"
"pneumonia); J15.9 (Bacterial pneumonia, unspecified); J16.0 (Chlamydial pneumonia); J16.8 (Pneumonia due to other specified"
"infectious organisms); J18.0 (Bronchopneumonia, unspecified); J18.1 (Lobar pneumonia, unspecified); J18.2 (Hypostatic pneumonia,"
"unspecified); J18.8 (Other pneumonia, organism unspecified); J18.9 (Pneumonia, unspecified)"
"Year/Month: 2018; 2019; 2020; 2021; 2022; 2023; 2024; 2025 (provisional)"
"Group By: MCD - ICD Sub-Chapter; Year; Ten-Year Age Groups"
"Show Totals: Disabled"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 100,000"
"Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups)"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/mcd-provisional.html for more information."
"---"
"Query Date: Apr 9, 2026 6:33:08 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Provisional Mortality on CDC WONDER Online Database. Data are from the final Multiple Cause of Death Files, 2018-2024,"
"and from provisional data for years 2025 and later, as compiled from data provided by the 57 vital statistics jurisdictions"
"through the Vital Statistics Cooperative Program. Accessed at http://wonder.cdc.gov/mcd-icd10-provisional.html on Apr 9, 2026"
"6:33:08 PM"
"---"
Messages:
"1. Totals are not available for these results due to suppression constraints. More Information:"
"http://wonder.cdc.gov/wonder/help/faq.html#Privacy."
"---"
Footnotes:
"1. Totals and sub-totals show the frequency of the selected causes of death, which may be greater than the number of deaths."
"Note that any single death record may have up to 20 causes. More information."
"---"
Caveats:
"1. These items in the results table are not fully selected: Influenza and pneumonia. The Query Description lists the actual"
"values selected."
"2. Data are Suppressed when the data meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/mcd-provisional.html#Assurance of Confidentiality."
"3. Deaths of persons with Age ""Not Stated"" are included in ""All"" counts and rates, but are not distributed among age groups,"
"so are not included in age-specific counts, age-specific rates or in any age-adjusted rates. More information:"
"http://wonder.cdc.gov/wonder/help/mcd-provisional.html#Not Stated."
"4. The method used to calculate 95% confidence intervals is documented here: More information:"
"http://wonder.cdc.gov/wonder/help/mcd-provisional.html#Confidence-Intervals."
"5. The population estimates for years 2022 - 2026 are from separate series of estimates based on the Modified Blended Base"
"produced by the US Census Bureau in lieu of the April 1, 2020 decennial population count. The Modified Blended Base consists of"
"the blend of Vintage 2020 postcensal population estimates for April 1, 2020, 2020 Demographic Analysis Estimates, and 2020"
"Census data from the internal Census Edited File (CEF). Each subsequent series of estimates adjusts the methodology. The"
"population figures for years 2024 and later are single-race estimates of the July 1 resident population, from the Vintage 2024"
"postcensal series released by the Census Bureau on June 26, 2025. The population figures for year 2023 are single-race estimates"
"of the July 1 resident population, from the Vintage 2023 postcensal series released by the Census Bureau on June 27, 2024. The"
"population figures for year 2022 are single-race estimates of the July 1 resident population, from the Vintage 2022 postcensal"
"series released by the Census Bureau on June 22, 2023. The population figures for year 2021 are single-race estimates of the"
"July 1 resident population, based on the Blended Base produced by the US Census Bureau in lieu of the April 1, 2020 decennial"
"population count, from the Vintage 2021 postcensal series released by the Census Bureau on June 30, 2022. The population figures"
"for year 2020 are single-race estimates of the July 1 resident population, from the Vintage 2020 postcensal series based on"
"April 2010 Census, released by the Census Bureau on July 27, 2021. The population figures for year 2019 are single-race"
"estimates of the July 1 resident population, from the Vintage 2019 postcensal series based on April 2010 Census, released by the"
"Census Bureau on June 25, 2020. The population figures for year 2018 are single-race estimates of the July 1 resident"
"population, from the Vintage 2018 postcensal series based on April 2010 Census, released by the Census Bureau on June 20, 2019."
"More information: http://wonder.cdc.gov/wonder/help/mcd-provisional.html#Population Data."
"6. The population figures used in the calculation of death rates for the age group 'under 1 year' are the estimates of the"
"resident population that is under one year of age. More information: http://wonder.cdc.gov/wonder/help/mcd-provisional.html#Age"
"Group."
"7. Beginning with the 2018 data, changes have been implemented that affect the counts for ICD-10 cause of death codes O00-O99"
"compared to previous practice. In addition, data for the cause of death codes O00-O99 for 2003 through 2017 reflect differences"
"in information available to individual states and probable errors. Deaths with the underlying cause classified with O00-O99 are"
"subject to further processing before these deaths records are considered final. Provisional deaths have not undergone full"
"processing and review and therefore should not be considered final for statistical purposes. Caution should be used in"
"interpreting these data. More information can be found at: https://www.cdc.gov/nchs/maternal-mortality/."
"8. On March 11, 2021, the 2019 mortality data on CDC WONDER was updated with the 2019 mortality data updated by NCHS on March 4,"
"2021 to include corrected information for residents of Texas affecting 5 records previously coded to cause code *U01.4,"
"Terrorism involving firearms (homicide). The underlying and multiple cause of death codes for 5 records were corrected in the"
"2019 data. Underlying and multiple cause of death codes for those 5 records were recoded to Assault (homicide) by other and"
"unspecified firearm discharge, ICD-10 code X95. The corrected final death records replaces the data released on December 22,"
"2020."
"9. Connecticut population estimates for 2022 and later years are reported for 9 planning regions as county equivalent areas,"
"instead of the former 8 legacy counties in the Vintage 2022 postcensal series released by the Census Bureau on June 22, 2023,"
"and in the Vintage 2023 postcensal series released by the Census Bureau on June 27, 2024. Populations estimates for the former"
"counties are not available for 2022 and later years. More information:"
"http://wonder.cdc.gov/wonder/help/mcd-provisional.html#Connecticut-2022."
"10. After the creation of the final 2023 dataset, North Carolina updated the cause of death information for over 900 death"
