Disease,Model,Validation Year,Training Years,Year,Month,Age Adjusted Rate,Predicted AAMR,Actual - Predicted
Pneumonia/ARDS,linear_month_fe,,,2012,"Oct., 2012",0.1,,
Pneumonia/ARDS,linear_month_fe,,,2012,"Nov., 2012",0.1,,
Pneumonia/ARDS,linear_month_fe,,,2012,"Dec., 2012",0.1,,
Pneumonia/ARDS,linear_month_fe,,,2013,"Jan., 2013",0.1,,
Pneumonia/ARDS,linear_month_fe,,,2013,"Feb., 2013",0.1,,
Pneumonia/ARDS,linear_month_fe,,,2013,"Mar., 2013",0.1,,
Pneumonia/ARDS,linear_month_fe,,,2013,"Apr., 2013",0.1,,
Pneumonia/ARDS,linear_month_fe,,,2013,"May, 2013",0.1,,
Pneumonia/ARDS,linear_month_fe,,,2013,"Jun., 2013",0.1,,
Pneumonia/ARDS,linear_month_fe,,,2013,"Jul., 2013",0.1,,
Pneumonia/ARDS,linear_month_fe,,,2013,"Aug., 2013",0.1,,
Pneumonia/ARDS,linear_month_fe,,,2013,"Sep., 2013",0.1,,
Pneumonia/ARDS,linear_month_fe,,,2013,"Oct., 2013",0.1,,
Pneumonia/ARDS,linear_month_fe,,,2013,"Nov., 2013",0.1,,
Pneumonia/ARDS,linear_month_fe,,,2013,"Dec., 2013",0.1,,
Pneumonia/ARDS,linear_month_fe,,,2014,"Jan., 2014",0.2,,
Pneumonia/ARDS,linear_month_fe,,,2014,"Feb., 2014",0.1,,
Pneumonia/ARDS,linear_month_fe,,,2014,"Mar., 2014",0.1,,
Pneumonia/ARDS,linear_month_fe,,,2014,"Apr., 2014",0.1,,
Pneumonia/ARDS,linear_month_fe,,,2014,"May, 2014",0.1,,
Pneumonia/ARDS,linear_month_fe,,,2014,"Jun., 2014",0.1,,
Pneumonia/ARDS,linear_month_fe,,,2014,"Jul., 2014",0.1,,
Pneumonia/ARDS,linear_month_fe,,,2014,"Aug., 2014",0.1,,
Pneumonia/ARDS,linear_month_fe,,,2014,"Sep., 2014",0.1,,
Pneumonia/ARDS,linear_month_fe,,,2014,"Oct., 2014",0.1,,
Pneumonia/ARDS,linear_month_fe,,,2014,"Nov., 2014",0.1,,
Pneumonia/ARDS,linear_month_fe,,,2014,"Dec., 2014",0.1,,
Pneumonia/ARDS,linear_month_fe,,,2015,"Jan., 2015",0.1,,
Pneumonia/ARDS,linear_month_fe,,,2015,"Feb., 2015",0.1,,
Pneumonia/ARDS,linear_month_fe,,,2015,"Mar., 2015",0.1,,
Pneumonia/ARDS,linear_month_fe,,,2015,"Apr., 2015",0.1,,
Pneumonia/ARDS,linear_month_fe,,,2015,"May, 2015",0.1,,
Pneumonia/ARDS,linear_month_fe,,,2015,"Jun., 2015",0.1,,
Pneumonia/ARDS,linear_month_fe,,,2015,"Jul., 2015",0.1,,
Pneumonia/ARDS,linear_month_fe,,,2015,"Aug., 2015",0.1,,
Pneumonia/ARDS,linear_month_fe,,,2015,"Sep., 2015",0.1,,
Pneumonia/ARDS,linear_month_fe,,,2015,"Oct., 2015",0.1,,
Pneumonia/ARDS,linear_month_fe,,,2015,"Nov., 2015",0.1,,
Pneumonia/ARDS,linear_month_fe,,,2015,"Dec., 2015",0.1,,
Pneumonia/ARDS,linear_month_fe,,,2016,"Jan., 2016",0.1,,
Pneumonia/ARDS,linear_month_fe,,,2016,"Feb., 2016",0.1,,
Pneumonia/ARDS,linear_month_fe,,,2016,"Mar., 2016",0.1,,
Pneumonia/ARDS,linear_month_fe,,,2016,"Apr., 2016",0.1,,
Pneumonia/ARDS,linear_month_fe,,,2016,"May, 2016",0.1,,
Pneumonia/ARDS,linear_month_fe,,,2016,"Jun., 2016",0.1,,
Pneumonia/ARDS,linear_month_fe,,,2016,"Jul., 2016",0.1,,
Pneumonia/ARDS,linear_month_fe,,,2016,"Aug., 2016",0.1,,
Pneumonia/ARDS,linear_month_fe,,,2016,"Sep., 2016",0.1,,
Pneumonia/ARDS,linear_month_fe,,,2016,"Oct., 2016",0.1,,
Pneumonia/ARDS,linear_month_fe,,,2016,"Nov., 2016",0.1,,
Pneumonia/ARDS,linear_month_fe,,,2016,"Dec., 2016",0.1,,
Pneumonia/ARDS,linear_month_fe,,,2017,"Jan., 2017",0.1,,
Pneumonia/ARDS,linear_month_fe,,,2017,"Feb., 2017",0.1,,
Pneumonia/ARDS,linear_month_fe,,,2017,"Mar., 2017",0.1,,
Pneumonia/ARDS,linear_month_fe,,,2017,"Apr., 2017",0.1,,
Pneumonia/ARDS,linear_month_fe,,,2017,"May, 2017",0.1,,
Pneumonia/ARDS,linear_month_fe,,,2017,"Jun., 2017",0.1,,
Pneumonia/ARDS,linear_month_fe,,,2017,"Jul., 2017",0.1,,
Pneumonia/ARDS,linear_month_fe,,,2017,"Aug., 2017",0.1,,
Pneumonia/ARDS,linear_month_fe,,,2017,"Sep., 2017",0.1,,
Pneumonia/ARDS,linear_month_fe,,,2017,"Oct., 2017",0.1,,
Pneumonia/ARDS,linear_month_fe,,,2017,"Nov., 2017",0.1,,
Pneumonia/ARDS,linear_month_fe,,,2017,"Dec., 2017",0.1,,
Pneumonia/ARDS,linear_month_fe,2018,2010-2017,2018,"Jan., 2018",0.1,0.1,0.0
Pneumonia/ARDS,linear_month_fe,2018,2010-2017,2018,"Feb., 2018",0.1,0.1,0.0
Pneumonia/ARDS,linear_month_fe,2018,2010-2017,2018,"Mar., 2018",0.1,0.1,0.0
Pneumonia/ARDS,linear_month_fe,2018,2010-2017,2018,"Apr., 2018",0.1,0.1,0.0
Pneumonia/ARDS,linear_month_fe,2018,2010-2017,2018,"May, 2018",0.1,0.1,0.0
Pneumonia/ARDS,linear_month_fe,2018,2010-2017,2018,"Jun., 2018",0.1,0.1,0.0
Pneumonia/ARDS,linear_month_fe,2018,2010-2017,2018,"Jul., 2018",0.1,0.1,0.0
Pneumonia/ARDS,linear_month_fe,2018,2010-2017,2018,"Aug., 2018",0.1,0.1,0.0
Pneumonia/ARDS,linear_month_fe,2018,2010-2017,2018,"Sep., 2018",0.1,0.1,0.0
Pneumonia/ARDS,linear_month_fe,2018,2010-2017,2018,"Oct., 2018",0.1,0.1,0.0
Pneumonia/ARDS,linear_month_fe,2018,2010-2017,2018,"Nov., 2018",0.1,0.1,0.0
Pneumonia/ARDS,linear_month_fe,2018,2010-2017,2018,"Dec., 2018",0.1,0.1,0.0
Pneumonia/ARDS,linear_month_fe,2019,2010-2018,2019,"Jan., 2019",0.1,0.1,0.0
Pneumonia/ARDS,linear_month_fe,2019,2010-2018,2019,"Feb., 2019",0.1,0.1,0.0
Pneumonia/ARDS,linear_month_fe,2019,2010-2018,2019,"Mar., 2019",0.1,0.1,0.0
Pneumonia/ARDS,linear_month_fe,2019,2010-2018,2019,"Apr., 2019",0.1,0.1,0.0
Pneumonia/ARDS,linear_month_fe,2019,2010-2018,2019,"May, 2019",0.1,0.1,0.0
Pneumonia/ARDS,linear_month_fe,2019,2010-2018,2019,"Jun., 2019",0.1,0.1,0.0
Pneumonia/ARDS,linear_month_fe,2019,2010-2018,2019,"Jul., 2019",0.1,0.1,0.0
Pneumonia/ARDS,linear_month_fe,2019,2010-2018,2019,"Aug., 2019",0.1,0.1,0.0
Pneumonia/ARDS,linear_month_fe,2019,2010-2018,2019,"Sep., 2019",0.1,0.1,0.0
Pneumonia/ARDS,linear_month_fe,2019,2010-2018,2019,"Oct., 2019",0.1,0.1,0.0
Pneumonia/ARDS,linear_month_fe,2019,2010-2018,2019,"Nov., 2019",0.1,0.1,0.0
Pneumonia/ARDS,linear_month_fe,2019,2010-2018,2019,"Dec., 2019",0.1,0.1,0.0
Pneumonia/ARDS,linear_month_fe,,2010-2019,2020,"Jan., 2020",0.1,0.1,0.0
Pneumonia/ARDS,linear_month_fe,,2010-2019,2020,"Feb., 2020",0.1,0.1,0.0
Pneumonia/ARDS,linear_month_fe,,2010-2019,2020,"Mar., 2020",0.3,0.1,0.2
Pneumonia/ARDS,linear_month_fe,,2010-2019,2020,"Apr., 2020",1.6,0.1,1.5
Pneumonia/ARDS,linear_month_fe,,2010-2019,2020,"May, 2020",0.7,0.1,0.6
Pneumonia/ARDS,linear_month_fe,,2010-2019,2020,"Jun., 2020",0.3,0.1,0.2
Pneumonia/ARDS,linear_month_fe,,2010-2019,2020,"Jul., 2020",0.6,0.1,0.5
Pneumonia/ARDS,linear_month_fe,,2010-2019,2020,"Aug., 2020",0.6,0.1,0.5
Pneumonia/ARDS,linear_month_fe,,2010-2019,2020,"Sep., 2020",0.4,0.1,0.3
