Disease,Model,Model Label,Projection Plausible,Minimum Projected AAMR,2025 Mean Predicted AAMR,2025/2019 Predicted Ratio,MAE,RMSE,MAPE (%),R-squared
Combined,log_anchored_quadratic_month_fe_60,"Log-quadratic trend + month effects, anchored 60% to recent seasonal mean",True,0.7,0.8666666666666667,0.9454545454545453,0.05416666666666666,0.0841625411530173,5.256734006734006,0.7342019543973943
Combined,anchored_quadratic_month_fe_70,"Quadratic trend + month effects, anchored 70% to recent seasonal mean",True,0.7,0.8666666666666667,0.9454545454545453,0.05833333333333332,0.08660254037844384,5.635521885521885,0.7185667752442999
Combined,anchored_quadratic_month_fe_80,"Quadratic trend + month effects, anchored 80% to recent seasonal mean",True,0.7,0.875,0.9545454545454544,0.05833333333333332,0.08660254037844384,5.635521885521885,0.7185667752442999
Combined,log_anchored_quadratic_month_fe_70,"Log-quadratic trend + month effects, anchored 70% to recent seasonal mean",True,0.7,0.8666666666666667,0.9454545454545453,0.05833333333333332,0.08660254037844384,5.635521885521885,0.7185667752442999
Combined,log_anchored_quadratic_month_fe_80,"Log-quadratic trend + month effects, anchored 80% to recent seasonal mean",True,0.8,0.9166666666666666,0.9999999999999998,0.05833333333333332,0.08660254037844384,5.635521885521885,0.7185667752442999
Combined,anchored_quadratic_fourier_80,"Quadratic trend + Fourier seasonality, anchored 80% to recent seasonal mean",True,0.7,0.8916666666666666,0.9727272727272724,0.05833333333333332,0.08660254037844384,5.635521885521885,0.7185667752442999
Combined,log_anchored_quadratic_fourier_80,"Log-quadratic trend + Fourier seasonality, anchored 80% to recent seasonal mean",True,0.8,0.9250000000000002,1.009090909090909,0.05833333333333332,0.08660254037844384,5.635521885521885,0.7185667752442999
Combined,quadratic_month_fe,Quadratic trend + month effects,False,0.5,0.6666666666666666,0.7272727272727271,0.0625,0.08897565210026091,6.440446127946127,0.7029315960912053
Combined,log_quadratic_month_fe,Log-quadratic trend + month effects,False,0.6,0.7083333333333334,0.7727272727272726,0.05833333333333332,0.09128709291752767,5.731271043771042,0.6872964169381109
Combined,recent_2015_quadratic_month_fe,2015+ quadratic trend + month effects,False,0.2,0.3416666666666666,0.3727272727272726,0.05833333333333331,0.09128709291752767,5.719696969696968,0.6872964169381109
