Outcome,Period,State,State Code,Deaths,Population,"Crude rate (/100,000)","AAMR (/100,000)"
ARDS (ARDS + Pneumonia),Post-pandemic (2024-2025),Virginia,51.0,234.0,17622390.0,1.3278562101962332,1.1
ARDS (ARDS + Pneumonia),Post-pandemic (2024-2025),Washington,53.0,196.0,15916360.0,1.2314373386879915,1.05
ARDS (ARDS + Pneumonia),Post-pandemic (2024-2025),West Virginia,54.0,86.0,3539958.0,2.429407354550534,1.8500000000000003
ARDS (ARDS + Pneumonia),Post-pandemic (2024-2025),Wisconsin,55.0,136.0,11921950.0,1.1407529808462542,0.8
ARDS (ARDS + Pneumonia),Post-pandemic (2024-2025),Wyoming,56.0,22.0,1175236.0,1.8719644394827932,1.5500000000000003
ARDS (ARDS + Pneumonia),Pre-pandemic (2010-2019),Alabama,1.0,879.0,48475680.0,1.8132803913219988,1.609749016414004
ARDS (ARDS + Pneumonia),Pre-pandemic (2010-2019),Alaska,2.0,0.0,7325366.0,0.0,0.0
ARDS (ARDS + Pneumonia),Pre-pandemic (2010-2019),Arizona,4.0,786.0,68011654.0,1.1556842890484622,1.0064074136470786
ARDS (ARDS + Pneumonia),Pre-pandemic (2010-2019),Arkansas,5.0,457.0,29731130.0,1.5371094203281208,1.2982585424771949
ARDS (ARDS + Pneumonia),Pre-pandemic (2010-2019),California,6.0,4244.0,387123075.0,1.0962921804648302,1.0293036884975146
ARDS (ARDS + Pneumonia),Pre-pandemic (2010-2019),Colorado,8.0,466.0,54016380.0,0.8627012769089671,0.8147672446765222
ARDS (ARDS + Pneumonia),Pre-pandemic (2010-2019),Connecticut,9.0,339.0,35831384.0,0.9460979793579841,0.7500213946522412
ARDS (ARDS + Pneumonia),Pre-pandemic (2010-2019),Delaware,10.0,127.0,9384397.0,1.3533101807180579,0.19581704610322856
ARDS (ARDS + Pneumonia),Pre-pandemic (2010-2019),District of Columbia,11.0,0.0,6612958.0,0.0,0.0
ARDS (ARDS + Pneumonia),Pre-pandemic (2010-2019),Florida,12.0,2284.0,201267750.0,1.1348067437530354,0.8813506366519226
ARDS (ARDS + Pneumonia),Pre-pandemic (2010-2019),Georgia,13.0,1042.0,101603826.0,1.0255519314794306,1.0085823697229668
ARDS (ARDS + Pneumonia),Pre-pandemic (2010-2019),Hawaii,15.0,187.0,14075100.0,1.3285873635000818,0.6795493104844725
ARDS (ARDS + Pneumonia),Pre-pandemic (2010-2019),Idaho,16.0,184.0,16591181.0,1.1090229200681976,0.6622274870004733
ARDS (ARDS + Pneumonia),Pre-pandemic (2010-2019),Illinois,17.0,1212.0,128214317.0,0.945292248446794,0.8504656699142265
ARDS (ARDS + Pneumonia),Pre-pandemic (2010-2019),Indiana,18.0,779.0,66049463.0,1.1794191271471806,1.0398658638602407
ARDS (ARDS + Pneumonia),Pre-pandemic (2010-2019),Iowa,19.0,286.0,31095910.0,0.919735103426785,0.7691067539107233
ARDS (ARDS + Pneumonia),Pre-pandemic (2010-2019),Kansas,20.0,276.0,28965111.0,0.9528705068660016,0.7802325252611669
ARDS (ARDS + Pneumonia),Pre-pandemic (2010-2019),Kentucky,21.0,659.0,44150220.0,1.4926312937964974,1.300844029769274
ARDS (ARDS + Pneumonia),Pre-pandemic (2010-2019),Louisiana,22.0,443.0,46330742.0,0.9561685845652979,0.8900225383828302
ARDS (ARDS + Pneumonia),Pre-pandemic (2010-2019),Maine,23.0,158.0,13323462.0,1.1858779647512037,0.3614110206491376
ARDS (ARDS + Pneumonia),Pre-pandemic (2010-2019),Maryland,24.0,665.0,59555048.0,1.1166139938297086,1.009475143064279
ARDS (ARDS + Pneumonia),Pre-pandemic (2010-2019),Massachusetts,25.0,592.0,67480213.0,0.8772942077109329,0.7300738114149106
ARDS (ARDS + Pneumonia),Pre-pandemic (2010-2019),Michigan,26.0,1042.0,99244645.0,1.0499307040697259,0.8898754960532128
ARDS (ARDS + Pneumonia),Pre-pandemic (2010-2019),Minnesota,27.0,620.0,54742441.0,1.1325764592777292,0.9707220198675466
ARDS (ARDS + Pneumonia),Pre-pandemic (2010-2019),Mississippi,28.0,476.0,29843859.0,1.5949679965985633,1.4399934438773483
ARDS (ARDS + Pneumonia),Pre-pandemic (2010-2019),Missouri,29.0,669.0,60683447.0,1.1024423184134546,0.9102449321970782
ARDS (ARDS + Pneumonia),Pre-pandemic (2010-2019),Montana,30.0,51.0,10288544.0,0.4956969615914555,0.0929261224911902
ARDS (ARDS + Pneumonia),Pre-pandemic (2010-2019),Nebraska,31.0,212.0,18861584.0,1.1239777104616453,0.658849055307338
ARDS (ARDS + Pneumonia),Pre-pandemic (2010-2019),Nevada,32.0,277.0,28755529.0,0.9632930070596162,0.8436926164703838
ARDS (ARDS + Pneumonia),Pre-pandemic (2010-2019),New Hampshire,33.0,128.0,13330021.0,0.9602385472611034,0.24929933718784092
ARDS (ARDS + Pneumonia),Pre-pandemic (2010-2019),New Jersey,34.0,881.0,89013989.0,0.9897320745843668,0.8500547245444758
ARDS (ARDS + Pneumonia),Pre-pandemic (2010-2019),New Mexico,35.0,257.0,20844251.0,1.232953872988768,0.9297671333932797
