Notes,MCD - ICD Sub-Chapter,MCD - ICD Sub-Chapter Code,Year,Year Code,State,State Code,Deaths,Population,Crude Rate,Age Adjusted Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Age Adjusted Rate Lower 95% Confidence Interval,Age Adjusted Rate Upper 95% Confidence Interval
,Other bacterial diseases,A30-A49,2014,2014,Alabama,1.0,703.0,4849377.0,14.5,12.5,,,,
,Other bacterial diseases,A30-A49,2014,2014,Alaska,2.0,45.0,736732.0,6.1,8.4,,,,
,Other bacterial diseases,A30-A49,2014,2014,Arizona,4.0,739.0,6731484.0,11.0,9.3,,,,
,Other bacterial diseases,A30-A49,2014,2014,Arkansas,5.0,509.0,2966369.0,17.2,14.5,,,,
,Other bacterial diseases,A30-A49,2014,2014,California,6.0,5165.0,38802500.0,13.3,12.8,,,,
,Other bacterial diseases,A30-A49,2014,2014,Colorado,8.0,382.0,5355866.0,7.1,7.2,,,,
,Other bacterial diseases,A30-A49,2014,2014,Connecticut,9.0,437.0,3596677.0,12.2,9.3,,,,
,Other bacterial diseases,A30-A49,2014,2014,Delaware,10.0,148.0,935614.0,15.8,13.1,,,,
,Other bacterial diseases,A30-A49,2014,2014,District of Columbia,11.0,58.0,658893.0,8.8,9.4,,,,
,Other bacterial diseases,A30-A49,2014,2014,Florida,12.0,2199.0,19893297.0,11.1,7.7,,,,
,Other bacterial diseases,A30-A49,2014,2014,Georgia,13.0,1092.0,10097343.0,10.8,11.3,,,,
,Other bacterial diseases,A30-A49,2014,2014,Hawaii,15.0,126.0,1419561.0,8.9,6.7,,,,
,Other bacterial diseases,A30-A49,2014,2014,Idaho,16.0,125.0,1634464.0,7.6,7.2,,,,
,Other bacterial diseases,A30-A49,2014,2014,Illinois,17.0,1484.0,12880580.0,11.5,10.2,,,,
,Other bacterial diseases,A30-A49,2014,2014,Indiana,18.0,872.0,6596855.0,13.2,11.6,,,,
,Other bacterial diseases,A30-A49,2014,2014,Iowa,19.0,288.0,3107126.0,9.3,7.0,,,,
,Other bacterial diseases,A30-A49,2014,2014,Kansas,20.0,320.0,2904021.0,11.0,9.4,,,,
,Other bacterial diseases,A30-A49,2014,2014,Kentucky,21.0,796.0,4413457.0,18.0,15.9,,,,
,Other bacterial diseases,A30-A49,2014,2014,Louisiana,22.0,584.0,4649676.0,12.6,11.9,,,,
,Other bacterial diseases,A30-A49,2014,2014,Maine,23.0,159.0,1330089.0,12.0,8.5,,,,
,Other bacterial diseases,A30-A49,2014,2014,Maryland,24.0,638.0,5976407.0,10.7,9.8,,,,
,Other bacterial diseases,A30-A49,2014,2014,Massachusetts,25.0,849.0,6745408.0,12.6,10.1,,,,
,Other bacterial diseases,A30-A49,2014,2014,Michigan,26.0,1345.0,9909877.0,13.6,11.1,,,,
,Other bacterial diseases,A30-A49,2014,2014,Minnesota,27.0,360.0,5457173.0,6.6,5.7,,,,
,Other bacterial diseases,A30-A49,2014,2014,Mississippi,28.0,552.0,2994079.0,18.4,16.8,,,,
,Other bacterial diseases,A30-A49,2014,2014,Missouri,29.0,785.0,6063589.0,12.9,10.7,,,,
,Other bacterial diseases,A30-A49,2014,2014,Montana,30.0,64.0,1023579.0,6.3,5.0,,,,
,Other bacterial diseases,A30-A49,2014,2014,Nebraska,31.0,195.0,1881503.0,10.4,8.8,,,,
,Other bacterial diseases,A30-A49,2014,2014,Nevada,32.0,528.0,2839099.0,18.6,17.8,,,,
,Other bacterial diseases,A30-A49,2014,2014,New Hampshire,33.0,129.0,1326813.0,9.7,7.8,,,,
,Other bacterial diseases,A30-A49,2014,2014,New Jersey,34.0,1070.0,8938175.0,12.0,9.9,,,,
,Other bacterial diseases,A30-A49,2014,2014,New Mexico,35.0,274.0,2085572.0,13.1,11.8,,,,
,Other bacterial diseases,A30-A49,2014,2014,New York,36.0,3118.0,19746227.0,15.8,13.1,,,,
,Other bacterial diseases,A30-A49,2014,2014,North Carolina,37.0,1472.0,9943964.0,14.8,13.3,,,,
,Other bacterial diseases,A30-A49,2014,2014,North Dakota,38.0,83.0,739482.0,11.2,9.8,,,,
,Other bacterial diseases,A30-A49,2014,2014,Ohio,39.0,1387.0,11594163.0,12.0,9.7,,,,
,Other bacterial diseases,A30-A49,2014,2014,Oklahoma,40.0,670.0,3878051.0,17.3,15.4,,,,
