Notes,MCD - ICD Sub-Chapter,MCD - ICD Sub-Chapter Code,Year,Year Code,State,State Code,Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Age Adjusted Rate,Age Adjusted Rate Lower 95% Confidence Interval,Age Adjusted Rate Upper 95% Confidence Interval
,Influenza and pneumonia,J09-J18,2012,2012,South Dakota,46.0,Suppressed,833354.0,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,Influenza and pneumonia,J09-J18,2012,2012,Tennessee,47.0,92,6456243.0,1.4,1.1,1.7,1.3,1.0,1.6
,Influenza and pneumonia,J09-J18,2012,2012,Texas,48.0,248,26059203.0,1.0,0.8,1.1,1.0,0.9,1.2
,Influenza and pneumonia,J09-J18,2012,2012,Utah,49.0,32,2855287.0,1.1,0.8,1.6,1.4,1.0,2.0
,Influenza and pneumonia,J09-J18,2012,2012,Vermont,50.0,Suppressed,626011.0,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,Influenza and pneumonia,J09-J18,2012,2012,Virginia,51.0,44,8185867.0,0.5,0.4,0.7,0.5,0.4,0.7
,Influenza and pneumonia,J09-J18,2012,2012,Washington,53.0,80,6897012.0,1.2,0.9,1.4,1.1,0.8,1.3
,Influenza and pneumonia,J09-J18,2012,2012,West Virginia,54.0,36,1855413.0,1.9,1.4,2.7,1.6,1.1,2.2
,Influenza and pneumonia,J09-J18,2012,2012,Wisconsin,55.0,41,5726398.0,0.7,0.5,1.0,0.6,0.4,0.8
,Influenza and pneumonia,J09-J18,2012,2012,Wyoming,56.0,Suppressed,576412.0,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
Total,Influenza and pneumonia,J09-J18,2012,2012,,,3086,313914040.0,1.0,0.9,1.0,0.9,0.8,0.9
,Influenza and pneumonia,J09-J18,2013,2013,Alabama,1.0,93,4833722.0,1.9,1.6,2.4,1.7,1.4,2.1
,Influenza and pneumonia,J09-J18,2013,2013,Alaska,2.0,Suppressed,735132.0,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,Influenza and pneumonia,J09-J18,2013,2013,Arizona,4.0,88,6626624.0,1.3,1.1,1.6,1.2,1.0,1.5
,Influenza and pneumonia,J09-J18,2013,2013,Arkansas,5.0,47,2959373.0,1.6,1.2,2.1,1.3,1.0,1.8
,Influenza and pneumonia,J09-J18,2013,2013,California,6.0,387,38332521.0,1.0,0.9,1.1,1.0,0.9,1.1
,Influenza and pneumonia,J09-J18,2013,2013,Colorado,8.0,38,5268367.0,0.7,0.5,1.0,0.6,0.5,0.9
,Influenza and pneumonia,J09-J18,2013,2013,Connecticut,9.0,30,3596080.0,0.8,0.6,1.2,0.6,0.4,0.9
,Influenza and pneumonia,J09-J18,2013,2013,Delaware,10.0,16,925749.0,Unreliable,1.0,2.8,Unreliable,0.8,2.4
,Influenza and pneumonia,J09-J18,2013,2013,District of Columbia,11.0,Suppressed,646449.0,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,Influenza and pneumonia,J09-J18,2013,2013,Florida,12.0,235,19552860.0,1.2,1.0,1.4,1.0,0.8,1.1
,Influenza and pneumonia,J09-J18,2013,2013,Georgia,13.0,111,9992167.0,1.1,0.9,1.3,1.1,0.9,1.3
,Influenza and pneumonia,J09-J18,2013,2013,Hawaii,15.0,18,1404054.0,Unreliable,0.8,2.0,Unreliable,0.6,1.8
,Influenza and pneumonia,J09-J18,2013,2013,Idaho,16.0,19,1612136.0,Unreliable,0.7,1.8,Unreliable,0.6,1.7
,Influenza and pneumonia,J09-J18,2013,2013,Illinois,17.0,130,12882135.0,1.0,0.8,1.2,0.9,0.8,1.1
,Influenza and pneumonia,J09-J18,2013,2013,Indiana,18.0,88,6570902.0,1.3,1.1,1.6,1.2,0.9,1.5
,Influenza and pneumonia,J09-J18,2013,2013,Iowa,19.0,23,3090416.0,0.7,0.5,1.1,0.6,0.3,0.8
,Influenza and pneumonia,J09-J18,2013,2013,Kansas,20.0,23,2893957.0,0.8,0.5,1.2,0.8,0.5,1.1
