Notes,MCD - ICD Sub-Chapter,MCD - ICD Sub-Chapter Code,Year,Year Code,State,State Code,Deaths,Population,Crude Rate,Age Adjusted Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Age Adjusted Rate Lower 95% Confidence Interval,Age Adjusted Rate Upper 95% Confidence Interval
,Other bacterial diseases,A30-A49,2012,2012,District of Columbia,11.0,429.0,632323.0,67.8,70.3,,,,
,Other bacterial diseases,A30-A49,2012,2012,Florida,12.0,9622.0,19317568.0,49.8,36.1,,,,
,Other bacterial diseases,A30-A49,2012,2012,Georgia,13.0,5255.0,9919945.0,53.0,57.7,,,,
,Other bacterial diseases,A30-A49,2012,2012,Hawaii,15.0,541.0,1392313.0,38.9,31.1,,,,
,Other bacterial diseases,A30-A49,2012,2012,Idaho,16.0,544.0,1595728.0,34.1,32.7,,,,
,Other bacterial diseases,A30-A49,2012,2012,Illinois,17.0,6968.0,12875255.0,54.1,49.6,,,,
,Other bacterial diseases,A30-A49,2012,2012,Indiana,18.0,3767.0,6537334.0,57.6,52.6,,,,
,Other bacterial diseases,A30-A49,2012,2012,Iowa,19.0,1364.0,3074186.0,44.4,34.7,,,,
,Other bacterial diseases,A30-A49,2012,2012,Kansas,20.0,1277.0,2885905.0,44.2,38.8,,,,
,Other bacterial diseases,A30-A49,2012,2012,Kentucky,21.0,2954.0,4380415.0,67.4,61.1,,,,
,Other bacterial diseases,A30-A49,2012,2012,Louisiana,22.0,2959.0,4601893.0,64.3,62.8,,,,
,Other bacterial diseases,A30-A49,2012,2012,Maine,23.0,615.0,1329192.0,46.3,34.6,,,,
,Other bacterial diseases,A30-A49,2012,2012,Maryland,24.0,3219.0,5884563.0,54.7,51.1,,,,
,Other bacterial diseases,A30-A49,2012,2012,Massachusetts,25.0,3324.0,6646144.0,50.0,41.6,,,,
,Other bacterial diseases,A30-A49,2012,2012,Michigan,26.0,5726.0,9883360.0,57.9,49.0,,,,
,Other bacterial diseases,A30-A49,2012,2012,Minnesota,27.0,1636.0,5379139.0,30.4,26.7,,,,
,Other bacterial diseases,A30-A49,2012,2012,Mississippi,28.0,2050.0,2984926.0,68.7,64.7,,,,
,Other bacterial diseases,A30-A49,2012,2012,Missouri,29.0,3122.0,6021988.0,51.8,44.4,,,,
,Other bacterial diseases,A30-A49,2012,2012,Montana,30.0,328.0,1005141.0,32.6,26.8,,,,
,Other bacterial diseases,A30-A49,2012,2012,Nebraska,31.0,682.0,1855525.0,36.8,32.0,,,,
,Other bacterial diseases,A30-A49,2012,2012,Nevada,32.0,1335.0,2758931.0,48.4,48.9,,,,
,Other bacterial diseases,A30-A49,2012,2012,New Hampshire,33.0,541.0,1320718.0,41.0,34.3,,,,
,Other bacterial diseases,A30-A49,2012,2012,New Jersey,34.0,6228.0,8864590.0,70.3,60.1,,,,
,Other bacterial diseases,A30-A49,2012,2012,New Mexico,35.0,1041.0,2085538.0,49.9,45.5,,,,
,Other bacterial diseases,A30-A49,2012,2012,New York,36.0,10085.0,19570261.0,51.5,44.2,,,,
,Other bacterial diseases,A30-A49,2012,2012,North Carolina,37.0,5797.0,9752073.0,59.4,55.2,,,,
,Other bacterial diseases,A30-A49,2012,2012,North Dakota,38.0,329.0,699628.0,47.0,39.4,,,,
,Other bacterial diseases,A30-A49,2012,2012,Ohio,39.0,6864.0,11544225.0,59.5,49.7,,,,
,Other bacterial diseases,A30-A49,2012,2012,Oklahoma,40.0,2416.0,3814820.0,63.3,58.0,,,,
,Other bacterial diseases,A30-A49,2012,2012,Oregon,41.0,1462.0,3899353.0,37.5,31.2,,,,
,Other bacterial diseases,A30-A49,2012,2012,Pennsylvania,42.0,8055.0,12763536.0,63.1,48.2,,,,
,Other bacterial diseases,A30-A49,2012,2012,Rhode Island,44.0,640.0,1050292.0,60.9,47.1,,,,
,Other bacterial diseases,A30-A49,2012,2012,South Carolina,45.0,3023.0,4723723.0,64.0,57.7,,,,
,Other bacterial diseases,A30-A49,2012,2012,South Dakota,46.0,363.0,833354.0,43.6,36.2,,,,
,Other bacterial diseases,A30-A49,2012,2012,Tennessee,47.0,4053.0,6456243.0,62.8,57.3,,,,
,Other bacterial diseases,A30-A49,2012,2012,Texas,48.0,14045.0,26059203.0,53.9,60.6,,,,
,Other bacterial diseases,A30-A49,2012,2012,Utah,49.0,803.0,2855287.0,28.1,35.7,,,,
,Other bacterial diseases,A30-A49,2012,2012,Vermont,50.0,266.0,626011.0,42.5,34.3,,,,
,Other bacterial diseases,A30-A49,2012,2012,Virginia,51.0,4418.0,8185867.0,54.0,52.4,,,,
,Other bacterial diseases,A30-A49,2012,2012,Washington,53.0,3047.0,6897012.0,44.2,41.5,,,,
,Other bacterial diseases,A30-A49,2012,2012,West Virginia,54.0,1476.0,1855413.0,79.6,62.1,,,,
,Other bacterial diseases,A30-A49,2012,2012,Wisconsin,55.0,1991.0,5726398.0,34.8,29.3,,,,
,Other bacterial diseases,A30-A49,2012,2012,Wyoming,56.0,208.0,576412.0,36.1,34.5,,,,
Total,Other bacterial diseases,A30-A49,2012,2012,,,165092.0,313914040.0,52.6,47.4,,,,
,Other bacterial diseases,A30-A49,2013,2013,Alabama,1.0,3248.0,4833722.0,67.2,58.6,,,,
,Other bacterial diseases,A30-A49,2013,2013,Alaska,2.0,188.0,735132.0,25.6,35.1,,,,
,Other bacterial diseases,A30-A49,2013,2013,Arizona,4.0,2856.0,6626624.0,43.1,37.7,,,,
,Other bacterial diseases,A30-A49,2013,2013,Arkansas,5.0,2120.0,2959373.0,71.6,61.8,,,,
,Other bacterial diseases,A30-A49,2013,2013,California,6.0,18811.0,38332521.0,49.1,47.8,,,,
,Other bacterial diseases,A30-A49,2013,2013,Colorado,8.0,1711.0,5268367.0,32.5,33.2,,,,
,Other bacterial diseases,A30-A49,2013,2013,Connecticut,9.0,2187.0,3596080.0,60.8,48.0,,,,
,Other bacterial diseases,A30-A49,2013,2013,Delaware,10.0,582.0,925749.0,62.9,52.5,,,,
,Other bacterial diseases,A30-A49,2013,2013,District of Columbia,11.0,368.0,646449.0,56.9,60.1,,,,
,Other bacterial diseases,A30-A49,2013,2013,Florida,12.0,10356.0,19552860.0,53.0,37.8,,,,
,Other bacterial diseases,A30-A49,2013,2013,Georgia,13.0,5460.0,9992167.0,54.6,58.0,,,,
,Other bacterial diseases,A30-A49,2013,2013,Hawaii,15.0,560.0,1404054.0,39.9,32.4,,,,
,Other bacterial diseases,A30-A49,2013,2013,Idaho,16.0,606.0,1612136.0,37.6,35.3,,,,
,Other bacterial diseases,A30-A49,2013,2013,Illinois,17.0,7034.0,12882135.0,54.6,49.5,,,,
,Other bacterial diseases,A30-A49,2013,2013,Indiana,18.0,3986.0,6570902.0,60.7,54.4,,,,
,Other bacterial diseases,A30-A49,2013,2013,Iowa,19.0,1397.0,3090416.0,45.2,35.1,,,,
,Other bacterial diseases,A30-A49,2013,2013,Kansas,20.0,1361.0,2893957.0,47.0,40.4,,,,
,Other bacterial diseases,A30-A49,2013,2013,Kentucky,21.0,2962.0,4395295.0,67.4,59.9,,,,
,Other bacterial diseases,A30-A49,2013,2013,Louisiana,22.0,3081.0,4625470.0,66.6,63.2,,,,
,Other bacterial diseases,A30-A49,2013,2013,Maine,23.0,680.0,1328302.0,51.2,37.0,,,,
,Other bacterial diseases,A30-A49,2013,2013,Maryland,24.0,3243.0,5928814.0,54.7,50.4,,,,
,Other bacterial diseases,A30-A49,2013,2013,Massachusetts,25.0,3650.0,6692824.0,54.5,44.7,,,,
,Other bacterial diseases,A30-A49,2013,2013,Michigan,26.0,5864.0,9895622.0,59.3,49.4,,,,
,Other bacterial diseases,A30-A49,2013,2013,Minnesota,27.0,1710.0,5420380.0,31.5,27.4,,,,
,Other bacterial diseases,A30-A49,2013,2013,Mississippi,28.0,2428.0,2991207.0,81.2,74.9,,,,
,Other bacterial diseases,A30-A49,2013,2013,Missouri,29.0,3303.0,6044171.0,54.6,46.0,,,,
,Other bacterial diseases,A30-A49,2013,2013,Montana,30.0,422.0,1015165.0,41.6,33.6,,,,
,Other bacterial diseases,A30-A49,2013,2013,Nebraska,31.0,719.0,1868516.0,38.5,33.4,,,,
,Other bacterial diseases,A30-A49,2013,2013,Nevada,32.0,1459.0,2790136.0,52.3,50.8,,,,
,Other bacterial diseases,A30-A49,2013,2013,New Hampshire,33.0,567.0,1323459.0,42.8,35.0,,,,
,Other bacterial diseases,A30-A49,2013,2013,New Jersey,34.0,6384.0,8899339.0,71.7,60.6,,,,
,Other bacterial diseases,A30-A49,2013,2013,New Mexico,35.0,1057.0,2085287.0,50.7,45.5,,,,
,Other bacterial diseases,A30-A49,2013,2013,New York,36.0,10837.0,19651127.0,55.1,46.7,,,,
,Other bacterial diseases,A30-A49,2013,2013,North Carolina,37.0,6033.0,9848060.0,61.3,55.7,,,,
,Other bacterial diseases,A30-A49,2013,2013,North Dakota,38.0,359.0,723393.0,49.6,41.7,,,,
,Other bacterial diseases,A30-A49,2013,2013,Ohio,39.0,6915.0,11570808.0,59.8,49.4,,,,
,Other bacterial diseases,A30-A49,2013,2013,Oklahoma,40.0,2477.0,3850568.0,64.3,58.2,,,,
,Other bacterial diseases,A30-A49,2013,2013,Oregon,41.0,1619.0,3930065.0,41.2,34.2,,,,
,Other bacterial diseases,A30-A49,2013,2013,Pennsylvania,42.0,8358.0,12773801.0,65.4,49.2,,,,
,Other bacterial diseases,A30-A49,2013,2013,Rhode Island,44.0,673.0,1051511.0,64.0,49.5,,,,
,Other bacterial diseases,A30-A49,2013,2013,South Carolina,45.0,3136.0,4774839.0,65.7,58.0,,,,
,Other bacterial diseases,A30-A49,2013,2013,South Dakota,46.0,347.0,844877.0,41.1,33.9,,,,
,Other bacterial diseases,A30-A49,2013,2013,Tennessee,47.0,4209.0,6495978.0,64.8,57.8,,,,
,Other bacterial diseases,A30-A49,2013,2013,Texas,48.0,14900.0,26448193.0,56.3,62.3,,,,
,Other bacterial diseases,A30-A49,2013,2013,Utah,49.0,907.0,2900872.0,31.3,39.8,,,,
,Other bacterial diseases,A30-A49,2013,2013,Vermont,50.0,283.0,626630.0,45.2,35.2,,,,
,Other bacterial diseases,A30-A49,2013,2013,Virginia,51.0,4930.0,8260405.0,59.7,56.7,,,,
,Other bacterial diseases,A30-A49,2013,2013,Washington,53.0,3337.0,6971406.0,47.9,44.1,,,,
,Other bacterial diseases,A30-A49,2013,2013,West Virginia,54.0,1507.0,1854304.0,81.3,63.0,,,,
,Other bacterial diseases,A30-A49,2013,2013,Wisconsin,55.0,2192.0,5742713.0,38.2,31.7,,,,
,Other bacterial diseases,A30-A49,2013,2013,Wyoming,56.0,241.0,582658.0,41.4,38.2,,,,
Total,Other bacterial diseases,A30-A49,2013,2013,,,173620.0,316128839.0,54.9,48.8,,,,
,Other bacterial diseases,A30-A49,2014,2014,Alabama,1.0,3424.0,4849377.0,70.6,60.9,,,,
,Other bacterial diseases,A30-A49,2014,2014,Alaska,2.0,218.0,736732.0,29.6,38.7,,,,
,Other bacterial diseases,A30-A49,2014,2014,Arizona,4.0,3210.0,6731484.0,47.7,40.5,,,,
,Other bacterial diseases,A30-A49,2014,2014,Arkansas,5.0,2266.0,2966369.0,76.4,64.9,,,,
,Other bacterial diseases,A30-A49,2014,2014,California,6.0,19220.0,38802500.0,49.5,47.4,,,,
,Other bacterial diseases,A30-A49,2014,2014,Colorado,8.0,1920.0,5355866.0,35.8,35.9,,,,
,Other bacterial diseases,A30-A49,2014,2014,Connecticut,9.0,2309.0,3596677.0,64.2,50.2,,,,
,Other bacterial diseases,A30-A49,2014,2014,Delaware,10.0,617.0,935614.0,65.9,54.1,,,,
,Other bacterial diseases,A30-A49,2014,2014,District of Columbia,11.0,375.0,658893.0,56.9,61.1,,,,
,Other bacterial diseases,A30-A49,2014,2014,Florida,12.0,10774.0,19893297.0,54.2,38.3,,,,
,Other bacterial diseases,A30-A49,2014,2014,Georgia,13.0,5557.0,10097343.0,55.0,56.8,,,,
,Other bacterial diseases,A30-A49,2014,2014,Hawaii,15.0,523.0,1419561.0,36.8,28.5,,,,
,Other bacterial diseases,A30-A49,2014,2014,Idaho,16.0,608.0,1634464.0,37.2,34.8,,,,
,Other bacterial diseases,A30-A49,2014,2014,Illinois,17.0,7375.0,12880580.0,57.3,50.7,,,,
,Other bacterial diseases,A30-A49,2014,2014,Indiana,18.0,4095.0,6596855.0,62.1,54.9,,,,
,Other bacterial diseases,A30-A49,2014,2014,Iowa,19.0,1548.0,3107126.0,49.8,38.4,,,,
,Other bacterial diseases,A30-A49,2014,2014,Kansas,20.0,1449.0,2904021.0,49.9,42.9,,,,
,Other bacterial diseases,A30-A49,2014,2014,Kentucky,21.0,3382.0,4413457.0,76.6,67.3,,,,
,Other bacterial diseases,A30-A49,2014,2014,Louisiana,22.0,3146.0,4649676.0,67.7,63.6,,,,
,Other bacterial diseases,A30-A49,2014,2014,Maine,23.0,720.0,1330089.0,54.1,38.7,,,,
,Other bacterial diseases,A30-A49,2014,2014,Maryland,24.0,3253.0,5976407.0,54.4,49.3,,,,
,Other bacterial diseases,A30-A49,2014,2014,Massachusetts,25.0,3916.0,6745408.0,58.1,47.1,,,,
,Other bacterial diseases,A30-A49,2014,2014,Michigan,26.0,6038.0,9909877.0,60.9,50.0,,,,
,Other bacterial diseases,A30-A49,2014,2014,Minnesota,27.0,1886.0,5457173.0,34.6,29.8,,,,
,Other bacterial diseases,A30-A49,2014,2014,Mississippi,28.0,2531.0,2994079.0,84.5,76.8,,,,
,Other bacterial diseases,A30-A49,2014,2014,Missouri,29.0,3595.0,6063589.0,59.3,49.2,,,,
,Other bacterial diseases,A30-A49,2014,2014,Montana,30.0,441.0,1023579.0,43.1,34.1,,,,
,Other bacterial diseases,A30-A49,2014,2014,Nebraska,31.0,824.0,1881503.0,43.8,37.5,,,,
,Other bacterial diseases,A30-A49,2014,2014,Nevada,32.0,1574.0,2839099.0,55.4,52.7,,,,
,Other bacterial diseases,A30-A49,2014,2014,New Hampshire,33.0,647.0,1326813.0,48.8,38.9,,,,
,Other bacterial diseases,A30-A49,2014,2014,New Jersey,34.0,6463.0,8938175.0,72.3,60.2,,,,
,Other bacterial diseases,A30-A49,2014,2014,New Mexico,35.0,1166.0,2085572.0,55.9,49.4,,,,
,Other bacterial diseases,A30-A49,2014,2014,New York,36.0,11638.0,19746227.0,58.9,49.2,,,,
,Other bacterial diseases,A30-A49,2014,2014,North Carolina,37.0,6385.0,9943964.0,64.2,57.3,,,,
,Other bacterial diseases,A30-A49,2014,2014,North Dakota,38.0,360.0,739482.0,48.7,41.7,,,,
